Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Grant Alternative School,1540,733,2,0,81,0,0,63,0,0,0,0,0,12,233,0,0,0,1,0,340,1
St. Paul Catholic High School,1804,555,2,1,83,0,0,47,1,1,0,3,1,8,115,0,1,1,5,3,283,0
Pinecrest Recreation Complex,3298,1244,6,8,167,1,0,97,0,2,0,0,0,35,323,1,2,0,10,9,579,4
West End Villa,233,71,1,2,5,0,4,2,0,1,0,0,1,1,21,0,0,0,1,0,29,3
Trinity United Church,3637,1318,4,1,233,1,2,82,1,0,1,1,0,34,286,1,1,2,4,6,657,1
Extendicare Medex,180,29,1,1,1,0,0,3,0,0,0,0,0,2,10,0,0,1,0,0,10,0
Ecole elementaire Charlotte-Lemieux,2344,924,1,1,128,0,3,72,0,0,0,0,0,24,200,2,1,1,3,7,481,0
Leslie Park Public School,2364,801,0,0,104,0,1,66,0,3,0,0,0,23,184,0,1,0,4,3,412,0
Briargreen Public School,1292,659,1,2,109,0,2,56,1,0,0,0,0,17,167,1,0,0,1,1,301,0
Bethany Baptist Church,1482,445,0,0,37,0,0,29,0,0,0,0,0,7,117,1,2,0,1,4,246,1
Sir Guy Carleton High School,3948,1469,3,2,194,2,2,102,2,1,2,0,1,35,398,1,1,1,4,5,712,1
Crystal View Lodge,123,81,0,0,7,0,0,11,0,0,0,1,0,0,20,0,1,0,1,0,40,0
Peter D. Clark Long-Term Care Home,54,20,1,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0
Aventura II,675,119,0,0,21,0,0,14,0,0,0,1,0,2,19,1,0,0,1,1,59,0
St. Gregory Catholic School,2760,1275,6,1,143,3,1,123,1,0,0,1,0,24,352,2,0,1,2,9,605,1
Elizabeth Wyn Wood School,1732,726,3,2,86,0,1,83,0,1,0,0,0,22,170,1,3,0,3,7,344,0
Extendicare Starwood,172,24,0,0,2,1,1,0,0,1,1,0,0,0,6,0,0,1,0,0,11,0
Meadowlands Public School,1420,562,3,0,58,0,0,73,0,0,0,2,0,17,156,0,2,0,1,2,245,3
Queensway Carleton Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silver Spring Farm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lynwood Park Lodge Retirement Residence,128,91,0,0,4,0,0,20,0,0,0,0,1,1,24,0,0,0,1,0,40,0
Thorncliffe Place Retirement Home,54,26,0,1,0,0,0,5,0,0,0,0,0,1,6,0,0,0,0,0,13,0
Our Lady of Peace Catholic School,2099,821,1,2,128,1,0,116,0,1,0,0,0,23,224,0,2,0,7,6,309,1
Robertson House Retirement Residence,68,31,0,0,5,0,0,5,0,0,0,0,0,0,4,0,1,0,1,0,15,0
College catholique Franco-Ouest,3277,1062,0,4,188,1,1,105,0,0,2,1,0,25,245,1,4,0,6,10,467,2
D. Aubrey Moodie Intermediate School,1806,848,0,1,133,1,1,113,1,0,0,0,0,23,224,1,0,0,1,2,346,1
Stillwater Creek Retirement Community,188,127,0,0,32,0,0,9,0,0,0,0,0,2,37,0,1,0,0,0,45,1
The Redwoods Retirement Residence,167,107,0,1,14,0,1,14,0,0,0,0,0,1,25,0,0,0,1,0,50,0
Manor Gardens Apartments - Adv 2,0,141,0,1,10,1,0,23,0,0,0,0,0,2,42,1,0,0,0,0,61,0
Manor House Apartments - Adv 2,0,154,0,0,10,0,0,19,0,0,0,0,0,1,65,0,0,0,0,0,59,0
Manor Square Apartments - Adv 2,0,143,0,0,8,0,1,14,0,0,0,0,0,1,43,0,2,0,0,0,74,0
Sophia I Apartments - Adv 2,0,118,1,0,14,0,0,17,0,0,0,0,0,1,31,0,0,0,0,0,54,0
Sophia II Apartments - Adv 2,0,68,0,0,5,0,0,13,0,0,0,0,0,1,17,0,0,0,0,0,32,0
Valley Stream Manor - Adv 2,0,23,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,2,1,8,0
Pinecrest Recreation Complex - Adv 1,0,476,0,0,23,0,0,95,0,1,0,0,0,0,113,0,1,0,2,2,239,0
D. Aubrey Moodie Inter. School - Adv 1,0,172,0,0,13,0,0,41,0,0,0,0,0,5,50,0,0,0,2,0,61,0
Pinecrest Recreation Complex - Adv 2,0,755,3,1,43,0,0,73,0,1,0,0,0,24,246,0,2,0,2,4,355,1
College catholique Franco-Ouest - Adv 2,0,192,1,0,22,1,0,21,0,2,0,0,0,4,62,0,0,0,1,1,77,0
Polling,36845,14815,36,31,2011,12,22,1402,7,11,6,10,4,345,3778,14,25,8,61,76,6936,20
Adv Vote,73690,1595,4,1,101,1,0,230,0,4,0,0,0,33,471,0,3,0,7,7,732,1
Total,36845,16410,40,32,2112,13,22,1632,7,15,6,10,4,378,4249,14,28,8,68,83,7668,21
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 8,Reg. Voters,Total Votes,Ralph Anderson,John Campbell,Rick Chiarelli,Catherine Gardner,Lynn Hamilton,Craig MacAulay,William McKinnon,Julia Ringma,,,,,,,,,,,,
Grant Alternative School,1540,726,14,9,560,23,87,6,8,19,,,,,,,,,,,,
St. Paul Catholic High School,1804,540,12,20,323,38,94,11,15,27,,,,,,,,,,,,
Pinecrest Recreation Complex,3298,1217,46,29,744,37,222,12,39,88,,,,,,,,,,,,
West End Villa,233,62,4,4,29,5,6,3,7,4,,,,,,,,,,,,
Trinity United Church,3637,1299,37,30,799,28,283,14,17,91,,,,,,,,,,,,
Extendicare Medex,180,24,2,3,13,2,1,1,1,1,,,,,,,,,,,,
Ecole elementaire Charlotte-Lemieux,2344,897,25,17,586,21,148,10,11,79,,,,,,,,,,,,
Leslie Park Public School,2364,786,21,8,526,19,163,12,11,26,,,,,,,,,,,,
Briargreen Public School,1292,651,45,16,443,6,95,0,4,42,,,,,,,,,,,,
Bethany Baptist Church,1482,440,17,10,304,14,58,3,6,28,,,,,,,,,,,,
Sir Guy Carleton High School,3948,1447,19,34,1020,42,177,17,12,126,,,,,,,,,,,,
Crystal View Lodge,123,69,0,3,46,6,10,1,2,1,,,,,,,,,,,,
Peter D. Clark Long-Term Care Home,54,18,1,2,12,1,0,0,0,2,,,,,,,,,,,,
Aventura II,675,118,6,7,58,11,20,3,4,9,,,,,,,,,,,,
St. Gregory Catholic School,2760,1254,30,19,908,34,149,22,14,78,,,,,,,,,,,,
Elizabeth Wyn Wood School,1732,710,24,21,495,26,100,5,7,32,,,,,,,,,,,,
Extendicare Starwood,172,20,2,2,8,2,2,2,0,2,,,,,,,,,,,,
Meadowlands Public School,1420,549,17,19,400,11,62,5,4,31,,,,,,,,,,,,
Queensway Carleton Hospital,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Silver Spring Farm,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Lynwood Park Lodge Retirement Residence,128,76,3,2,44,15,4,0,6,2,,,,,,,,,,,,
Thorncliffe Place Retirement Home,54,26,0,0,13,3,6,0,1,3,,,,,,,,,,,,
Our Lady of Peace Catholic School,2099,816,32,35,436,42,143,15,12,101,,,,,,,,,,,,
Robertson House Retirement Residence,68,23,1,0,14,3,2,0,0,3,,,,,,,,,,,,
College catholique Franco-Ouest,3277,1048,41,40,623,58,141,21,18,106,,,,,,,,,,,,
D. Aubrey Moodie Intermediate School,1806,845,25,22,476,26,153,33,10,100,,,,,,,,,,,,
Stillwater Creek Retirement Community,188,115,4,4,70,17,10,2,2,6,,,,,,,,,,,,
The Redwoods Retirement Residence,167,99,3,4,65,9,12,2,2,2,,,,,,,,,,,,
Manor Gardens Apartments - Adv 2,0,137,3,5,92,15,11,1,5,5,,,,,,,,,,,,
Manor House Apartments - Adv 2,0,153,0,2,116,9,16,3,2,5,,,,,,,,,,,,
Manor Square Apartments - Adv 2,0,138,4,3,99,11,10,2,2,7,,,,,,,,,,,,
Sophia I Apartments - Adv 2,0,119,0,2,98,6,10,0,0,3,,,,,,,,,,,,
Sophia II Apartments - Adv 2,0,68,2,0,58,4,2,0,1,1,,,,,,,,,,,,
Valley Stream Manor - Adv 2,0,22,0,1,15,2,4,0,0,0,,,,,,,,,,,,
Pinecrest Recreation Complex - Adv 1,0,463,23,8,320,15,48,8,12,29,,,,,,,,,,,,
D. Aubrey Moodie Inter. School - Adv 1,0,167,7,6,98,10,24,5,3,14,,,,,,,,,,,,
Pinecrest Recreation Complex - Adv 2,0,734,36,13,510,22,78,12,10,53,,,,,,,,,,,,
College catholique Franco-Ouest - Adv 2,0,191,7,23,110,13,16,8,1,13,,,,,,,,,,,,
Polling,36845,14512,440,373,9493,546,2201,206,223,1030,,,,,,,,,,,,
Adv Vote,73690,1555,73,50,1038,60,166,33,26,109,,,,,,,,,,,,
Total,36845,16067,513,423,10531,606,2367,239,249,1139,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 5,Reg. Voters,Total Votes,Kimberly Brown,Pam FitzGerald,,,,,,,,,,,,,,,,,,
Grant Alternative School,1232,444,140,304,,,,,,,,,,,,,,,,,,
St. Paul Catholic High School,1333,352,138,214,,,,,,,,,,,,,,,,,,
Pinecrest Recreation Complex,2261,681,268,413,,,,,,,,,,,,,,,,,,
West End Villa,164,39,25,14,,,,,,,,,,,,,,,,,,
Trinity United Church,2602,775,293,482,,,,,,,,,,,,,,,,,,
Extendicare Medex,180,19,8,11,,,,,,,,,,,,,,,,,,
Ecole elementaire Charlotte-Lemieux,1703,540,176,364,,,,,,,,,,,,,,,,,,
Leslie Park Public School,1822,509,159,350,,,,,,,,,,,,,,,,,,
Briargreen Public School,1095,473,123,350,,,,,,,,,,,,,,,,,,
Bethany Baptist Church,1207,277,97,180,,,,,,,,,,,,,,,,,,
Sir Guy Carleton High School,3242,949,335,614,,,,,,,,,,,,,,,,,,
Crystal View Lodge,122,56,24,32,,,,,,,,,,,,,,,,,,
Peter D. Clark Long-Term Care Home,53,14,6,8,,,,,,,,,,,,,,,,,,
Aventura II,532,84,28,56,,,,,,,,,,,,,,,,,,
St. Gregory Catholic School,1649,623,202,421,,,,,,,,,,,,,,,,,,
Elizabeth Wyn Wood School,1129,398,161,237,,,,,,,,,,,,,,,,,,
Extendicare Starwood,155,14,8,6,,,,,,,,,,,,,,,,,,
Meadowlands Public School,914,297,101,196,,,,,,,,,,,,,,,,,,
Queensway Carleton Hospital,0,0,0,0,,,,,,,,,,,,,,,,,,
Silver Spring Farm,0,0,0,0,,,,,,,,,,,,,,,,,,
Lynwood Park Lodge Retirement Residence,126,48,29,19,,,,,,,,,,,,,,,,,,
Thorncliffe Place Retirement Home,46,16,7,9,,,,,,,,,,,,,,,,,,
Our Lady of Peace Catholic School,1524,529,207,322,,,,,,,,,,,,,,,,,,
Robertson House Retirement Residence,68,14,10,4,,,,,,,,,,,,,,,,,,
College catholique Franco-Ouest,2456,673,269,404,,,,,,,,,,,,,,,,,,
D. Aubrey Moodie Intermediate School,1372,554,187,367,,,,,,,,,,,,,,,,,,
Stillwater Creek Retirement Community,188,72,38,34,,,,,,,,,,,,,,,,,,
The Redwoods Retirement Residence,164,73,36,37,,,,,,,,,,,,,,,,,,
Manor Gardens Apartments - Adv 2,0,91,40,51,,,,,,,,,,,,,,,,,,
Manor House Apartments - Adv 2,0,86,38,48,,,,,,,,,,,,,,,,,,
Manor Square Apartments - Adv 2,0,103,43,60,,,,,,,,,,,,,,,,,,
Sophia I Apartments - Adv 2,0,78,35,43,,,,,,,,,,,,,,,,,,
Sophia II Apartments - Adv 2,0,38,18,20,,,,,,,,,,,,,,,,,,
Valley Stream Manor - Adv 2,0,17,11,6,,,,,,,,,,,,,,,,,,
Pinecrest Recreation Complex - Adv 1,0,276,108,168,,,,,,,,,,,,,,,,,,
D. Aubrey Moodie Inter. School - Adv 1,0,115,43,72,,,,,,,,,,,,,,,,,,
Pinecrest Recreation Complex - Adv 2,0,423,170,253,,,,,,,,,,,,,,,,,,
College catholique Franco-Ouest - Adv 2,0,120,50,70,,,,,,,,,,,,,,,,,,
Polling,27339,8936,3260,5676,,,,,,,,,,,,,,,,,,
Adv Vote,54678,934,371,563,,,,,,,,,,,,,,,,,,
Total,27339,9870,3631,6239,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CEPEO Secteur 12,Reg. Voters,Total Votes,Bernard Bareilhe,Abdourahman Kahin,Linda Savard,,,,,,,,,,,,,,,,,
Grant Alternative School,21,13,1,4,8,,,,,,,,,,,,,,,,,
St. Paul Catholic High School,56,19,2,1,16,,,,,,,,,,,,,,,,,
Pinecrest Recreation Complex,48,15,0,3,12,,,,,,,,,,,,,,,,,
West End Villa,0,0,0,0,0,,,,,,,,,,,,,,,,,
Trinity United Church,77,31,6,0,25,,,,,,,,,,,,,,,,,
Extendicare Medex,0,0,0,0,0,,,,,,,,,,,,,,,,,
Ecole elementaire Charlotte-Lemieux,37,11,1,1,9,,,,,,,,,,,,,,,,,
Leslie Park Public School,30,10,1,0,9,,,,,,,,,,,,,,,,,
Briargreen Public School,4,5,0,0,5,,,,,,,,,,,,,,,,,
Bethany Baptist Church,23,8,1,1,6,,,,,,,,,,,,,,,,,
Sir Guy Carleton High School,58,23,0,6,17,,,,,,,,,,,,,,,,,
Crystal View Lodge,0,0,0,0,0,,,,,,,,,,,,,,,,,
Peter D. Clark Long-Term Care Home,0,0,0,0,0,,,,,,,,,,,,,,,,,
Aventura II,16,1,0,0,1,,,,,,,,,,,,,,,,,
St. Gregory Catholic School,35,11,4,0,7,,,,,,,,,,,,,,,,,
Elizabeth Wyn Wood School,25,9,2,1,6,,,,,,,,,,,,,,,,,
Extendicare Starwood,0,0,0,0,0,,,,,,,,,,,,,,,,,
Meadowlands Public School,22,10,0,2,8,,,,,,,,,,,,,,,,,
Queensway Carleton Hospital,0,0,0,0,0,,,,,,,,,,,,,,,,,
Silver Spring Farm,0,0,0,0,0,,,,,,,,,,,,,,,,,
Lynwood Park Lodge Retirement Residence,0,0,0,0,0,,,,,,,,,,,,,,,,,
Thorncliffe Place Retirement Home,1,0,0,0,0,,,,,,,,,,,,,,,,,
Our Lady of Peace Catholic School,26,7,1,1,5,,,,,,,,,,,,,,,,,
Robertson House Retirement Residence,0,2,0,2,0,,,,,,,,,,,,,,,,,
College catholique Franco-Ouest,46,14,1,1,12,,,,,,,,,,,,,,,,,
D. Aubrey Moodie Intermediate School,20,9,1,0,8,,,,,,,,,,,,,,,,,
Stillwater Creek Retirement Community,0,0,0,0,0,,,,,,,,,,,,,,,,,
The Redwoods Retirement Residence,0,0,0,0,0,,,,,,,,,,,,,,,,,
Manor Gardens Apartments - Adv 2,0,5,1,0,4,,,,,,,,,,,,,,,,,
Manor House Apartments - Adv 2,0,1,0,0,1,,,,,,,,,,,,,,,,,
Manor Square Apartments - Adv 2,0,1,1,0,0,,,,,,,,,,,,,,,,,
Sophia I Apartments - Adv 2,0,3,0,0,3,,,,,,,,,,,,,,,,,
Sophia II Apartments - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Valley Stream Manor - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Pinecrest Recreation Complex - Adv 1,0,14,3,5,6,,,,,,,,,,,,,,,,,
D. Aubrey Moodie Inter. School - Adv 1,0,0,0,0,0,,,,,,,,,,,,,,,,,
Pinecrest Recreation Complex - Adv 2,0,13,1,2,10,,,,,,,,,,,,,,,,,
College catholique Franco-Ouest - Adv 2,0,3,0,2,1,,,,,,,,,,,,,,,,,
Polling,545,208,23,23,162,,,,,,,,,,,,,,,,,
Adv Vote,1090,30,4,9,17,,,,,,,,,,,,,,,,,
Total,545,238,27,32,179,,,,,,,,,,,,,,,,,
