Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Lycee Claudel,2221,611,4,3,137,0,5,25,0,0,0,0,0,8,122,2,0,1,1,4,298,1
Saint Paul University,1801,917,6,2,329,0,1,31,0,0,1,0,0,14,111,0,0,0,0,0,421,1
Lady Evelyn Public School,2858,888,5,4,279,1,0,22,0,1,0,1,0,13,114,1,0,0,4,6,437,0
The Palisades Retirement Residence,83,90,0,0,34,0,0,2,0,0,0,0,0,0,15,0,0,0,1,1,37,0
St. Giles Presbyterian Church,2896,1500,4,3,596,2,1,22,0,0,2,0,0,9,131,0,0,1,2,7,718,2
Glebe Centre Residence,354,55,1,1,8,1,2,4,1,0,0,0,0,0,12,0,0,0,0,0,25,0
Glebe Community Centre,3607,1664,4,1,589,1,0,26,0,0,1,0,0,11,161,2,0,1,3,6,858,0
Corpus Christi School,3012,1496,2,0,630,4,0,23,0,0,0,0,1,13,96,0,0,0,1,10,716,0
Colonel By Retirement Residence,95,54,0,0,18,2,1,2,0,0,0,0,0,0,5,0,0,0,0,0,26,0
Southminster United Church,2919,1515,1,1,615,2,2,34,0,0,1,2,0,14,110,0,2,0,4,1,725,1
St. Margaret Mary Church,2421,1259,2,0,501,0,2,13,0,0,1,0,1,8,104,1,0,0,3,2,620,1
Billingswood Manor,46,41,0,0,6,0,1,2,0,2,0,0,0,1,10,0,0,0,0,0,19,0
Ecole elementaire catholique Lamoureux,2845,930,6,3,229,0,3,44,1,1,0,0,0,21,151,1,2,3,5,7,451,2
Billings Lodge,71,45,0,1,3,0,1,2,0,0,0,0,0,0,5,0,0,1,1,0,31,0
Carleton University,0,377,1,1,137,4,0,7,2,2,1,2,0,3,13,3,0,0,1,3,197,0
Riviera Condominiums - Adv 1,0,263,0,0,19,0,4,18,0,0,0,0,0,3,84,0,0,0,0,0,134,1
Riverwood Apartments - Adv 1,0,20,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,12,0
Rideau Park Towers - Adv 1,0,35,0,0,4,0,0,6,0,0,0,0,0,0,14,0,0,0,1,1,9,0
Frobisher Place Condominiums - Adv 1,0,66,0,0,10,0,1,10,0,0,0,0,2,1,19,0,0,0,0,0,23,0
Faircrest Apartments - Adv 1,0,59,2,0,11,0,0,3,0,0,0,0,1,2,7,0,0,1,1,0,30,1
Driveway Place Apartments - Adv 1,0,60,0,0,8,0,0,2,0,0,0,0,0,1,3,1,0,0,0,0,45,0
King's Daughters and Sons Aprts. - Adv 1,0,34,0,0,2,0,0,8,0,0,0,0,0,2,7,0,0,0,0,0,13,2
Clementine Towers - Adv 1,0,130,0,0,23,1,6,11,0,0,0,0,0,4,22,1,1,0,1,0,59,1
Rockingham Apartments - Adv 1,0,16,0,0,2,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,5,0
