Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Lord Lansdowne Residence - Adv 1,0,58,0,0,9,0,1,6,0,1,0,0,0,0,5,0,0,0,0,0,35,1
Brewer Pool - Adv 1,0,369,1,0,65,0,1,19,2,0,0,0,0,2,42,0,0,0,3,2,232,0
St. Paul University - Adv 2,0,666,1,0,162,0,2,22,1,0,0,0,0,10,94,0,1,1,3,2,367,0
Polling,25229,12183,38,20,4203,18,31,328,5,7,7,5,5,128,1327,12,5,9,29,48,5944,14
Adv Vote,50458,1035,2,0,227,0,3,41,3,0,0,0,0,12,136,0,1,1,6,4,599,0
Total,25229,13218,40,20,4430,18,34,369,8,7,7,5,5,140,1463,12,6,10,35,52,6543,14
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 17,Reg. Voters,Total Votes,Bob Brocklebank,David Chernushenko,Mano Hadavand,Eugene Haslam,Ron Le Blanc,Isabel Metcalfe,Domenic Santaguida,,,,,,,,,,,,,
Lycee Claudel,2221,577,60,155,0,40,20,247,55,,,,,,,,,,,,,
Saint Paul University,1801,906,91,382,2,187,5,128,111,,,,,,,,,,,,,
Lady Evelyn Public School,2858,865,67,343,5,150,15,211,74,,,,,,,,,,,,,
The Palisades Retirement Residence,83,81,9,29,0,1,1,41,0,,,,,,,,,,,,,
St. Giles Presbyterian Church,2896,1485,425,575,1,85,6,238,155,,,,,,,,,,,,,
Glebe Centre Residence,354,45,9,11,1,1,5,12,6,,,,,,,,,,,,,
Glebe Community Centre,3607,1642,317,700,5,119,15,271,215,,,,,,,,,,,,,
Corpus Christi School,3012,1473,390,641,2,85,14,163,178,,,,,,,,,,,,,
Colonel By Retirement Residence,95,48,7,8,1,1,1,25,5,,,,,,,,,,,,,
Southminster United Church,2919,1499,157,992,5,69,7,161,108,,,,,,,,,,,,,
St. Margaret Mary Church,2421,1235,135,702,1,133,13,123,128,,,,,,,,,,,,,
Billingswood Manor,46,36,4,3,1,2,6,17,3,,,,,,,,,,,,,
Ecole elementaire catholique Lamoureux,2845,904,96,245,7,105,13,248,190,,,,,,,,,,,,,
Billings Lodge,71,40,8,3,0,1,3,24,1,,,,,,,,,,,,,
Carleton University,0,364,155,51,6,11,19,82,40,,,,,,,,,,,,,
Riviera Condominiums - Adv 1,0,252,22,20,3,7,37,110,53,,,,,,,,,,,,,
Riverwood Apartments - Adv 1,0,20,2,1,0,0,5,10,2,,,,,,,,,,,,,
Rideau Park Towers - Adv 1,0,31,2,5,0,1,6,16,1,,,,,,,,,,,,,
Frobisher Place Condominiums - Adv 1,0,63,2,8,0,2,5,42,4,,,,,,,,,,,,,
Faircrest Apartments - Adv 1,0,52,3,8,1,4,2,31,3,,,,,,,,,,,,,
Driveway Place Apartments - Adv 1,0,55,8,6,0,2,0,29,10,,,,,,,,,,,,,
King's Daughters and Sons Aprts. - Adv 1,0,31,1,3,0,0,3,18,6,,,,,,,,,,,,,
Clementine Towers - Adv 1,0,128,8,51,2,2,13,49,3,,,,,,,,,,,,,
Rockingham Apartments - Adv 1,0,13,1,2,0,0,0,10,0,,,,,,,,,,,,,
Lord Lansdowne Residence - Adv 1,0,49,1,9,1,2,3,27,6,,,,,,,,,,,,,
Brewer Pool - Adv 1,0,362,84,143,1,13,6,74,41,,,,,,,,,,,,,
St. Paul University - Adv 2,0,649,143,239,1,61,20,108,77,,,,,,,,,,,,,
Polling,25229,11894,1980,4953,44,1010,217,2333,1357,,,,,,,,,,,,,
Adv Vote,50458,1011,227,382,2,74,26,182,118,,,,,,,,,,,,,
Total,25229,12905,2207,5335,46,1084,243,2515,1475,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 9,Reg. Voters,Total Votes,Rob Campbell,Helen Gruber,Julian Kirby,Lorne Rachlis,Daniel Rogers,,,,,,,,,,,,,,,
Lycee Claudel,1685,341,168,70,25,62,16,,,,,,,,,,,,,,,
Saint Paul University,1192,542,284,52,13,184,9,,,,,,,,,,,,,,,
Lady Evelyn Public School,2084,510,237,56,19,178,20,,,,,,,,,,,,,,,
The Palisades Retirement Residence,81,52,24,7,6,10,5,,,,,,,,,,,,,,,
St. Giles Presbyterian Church,2430,1004,510,150,38,259,47,,,,,,,,,,,,,,,
Glebe Centre Residence,354,34,16,6,3,3,6,,,,,,,,,,,,,,,
Glebe Community Centre,2969,1085,581,148,44,292,20,,,,,,,,,,,,,,,
Corpus Christi School,2494,995,527,121,42,288,17,,,,,,,,,,,,,,,
Colonel By Retirement Residence,85,39,19,3,2,14,1,,,,,,,,,,,,,,,
Southminster United Church,2443,1049,696,100,30,196,27,,,,,,,,,,,,,,,
St. Margaret Mary Church,1862,796,475,80,25,206,10,,,,,,,,,,,,,,,
Billingswood Manor,23,18,8,1,2,6,1,,,,,,,,,,,,,,,
Ecole elementaire catholique Lamoureux,1836,463,229,95,31,76,32,,,,,,,,,,,,,,,
Billings Lodge,48,29,6,6,3,12,2,,,,,,,,,,,,,,,
Carleton University,0,260,113,54,48,18,27,,,,,,,,,,,,,,,
Riviera Condominiums - Adv 1,0,144,58,19,11,49,7,,,,,,,,,,,,,,,
Riverwood Apartments - Adv 1,0,9,4,2,1,0,2,,,,,,,,,,,,,,,
Rideau Park Towers - Adv 1,0,23,17,3,1,0,2,,,,,,,,,,,,,,,
Frobisher Place Condominiums - Adv 1,0,35,20,8,2,3,2,,,,,,,,,,,,,,,
Faircrest Apartments - Adv 1,0,31,16,5,3,1,6,,,,,,,,,,,,,,,
Driveway Place Apartments - Adv 1,0,28,12,10,0,5,1,,,,,,,,,,,,,,,
King's Daughters and Sons Aprts. - Adv 1,0,20,7,6,3,1,3,,,,,,,,,,,,,,,
Clementine Towers - Adv 1,0,85,32,18,10,21,4,,,,,,,,,,,,,,,
Rockingham Apartments - Adv 1,0,13,9,2,0,2,0,,,,,,,,,,,,,,,
Lord Lansdowne Residence - Adv 1,0,27,10,6,5,4,2,,,,,,,,,,,,,,,
Brewer Pool - Adv 1,0,248,135,46,13,44,10,,,,,,,,,,,,,,,
St. Paul University - Adv 2,0,407,220,58,22,96,11,,,,,,,,,,,,,,,
Polling,19586,7632,4078,1028,367,1890,269,,,,,,,,,,,,,,,
Adv Vote,39172,655,355,104,35,140,21,,,,,,,,,,,,,,,
Total,19586,8287,4433,1132,402,2030,290,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCSB Zone 9,Reg. Voters,Total Votes,Kathy Ablett,John Chiarelli,,,,,,,,,,,,,,,,,,
Lycee Claudel,202,75,41,34,,,,,,,,,,,,,,,,,,
Saint Paul University,320,126,98,28,,,,,,,,,,,,,,,,,,
Lady Evelyn Public School,358,111,66,45,,,,,,,,,,,,,,,,,,
The Palisades Retirement Residence,2,8,2,6,,,,,,,,,,,,,,,,,,
St. Giles Presbyterian Church,285,122,86,36,,,,,,,,,,,,,,,,,,
Glebe Centre Residence,0,5,4,1,,,,,,,,,,,,,,,,,,
Glebe Community Centre,432,179,117,62,,,,,,,,,,,,,,,,,,
Corpus Christi School,364,161,117,44,,,,,,,,,,,,,,,,,,
Colonel By Retirement Residence,2,1,0,1,,,,,,,,,,,,,,,,,,
Southminster United Church,289,114,81,33,,,,,,,,,,,,,,,,,,
St. Margaret Mary Church,319,133,92,41,,,,,,,,,,,,,,,,,,
Billingswood Manor,16,13,4,9,,,,,,,,,,,,,,,,,,
Ecole elementaire catholique Lamoureux,687,211,95,116,,,,,,,,,,,,,,,,,,
Billings Lodge,23,10,3,7,,,,,,,,,,,,,,,,,,
Carleton University,0,53,28,25,,,,,,,,,,,,,,,,,,
Riviera Condominiums - Adv 1,0,21,12,9,,,,,,,,,,,,,,,,,,
Riverwood Apartments - Adv 1,0,1,0,1,,,,,,,,,,,,,,,,,,
Rideau Park Towers - Adv 1,0,5,2,3,,,,,,,,,,,,,,,,,,
Frobisher Place Condominiums - Adv 1,0,11,3,8,,,,,,,,,,,,,,,,,,
Faircrest Apartments - Adv 1,0,10,7,3,,,,,,,,,,,,,,,,,,
Driveway Place Apartments - Adv 1,0,7,3,4,,,,,,,,,,,,,,,,,,
King's Daughters and Sons Aprts. - Adv 1,0,3,2,1,,,,,,,,,,,,,,,,,,
Clementine Towers - Adv 1,0,27,9,18,,,,,,,,,,,,,,,,,,
Rockingham Apartments - Adv 1,0,1,0,1,,,,,,,,,,,,,,,,,,
Lord Lansdowne Residence - Adv 1,0,7,5,2,,,,,,,,,,,,,,,,,,
Brewer Pool - Adv 1,0,49,31,18,,,,,,,,,,,,,,,,,,
St. Paul University - Adv 2,0,71,53,18,,,,,,,,,,,,,,,,,,
Polling,3299,1415,877,538,,,,,,,,,,,,,,,,,,
Adv Vote,6598,120,84,36,,,,,,,,,,,,,,,,,,
Total,3299,1535,961,574,,,,,,,,,,,,,,,,,,
