Mayor,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
 Orleans Wood Elementary School,1065,415,113,302,,,,,,,,,,,,,,,,,,
 Convent Glen Elementary School,1168,425,104,321,,,,,,,,,,,,,,,,,,
 Orleans Villa,121,47,5,42,,,,,,,,,,,,,,,,,,
 Divine Infant School,1457,552,81,471,,,,,,,,,,,,,,,,,,
 Ecole elementaire Reine-des-Bois,2029,664,149,515,,,,,,,,,,,,,,,,,,
 Our Lady of Wisdom School,1585,585,77,508,,,,,,,,,,,,,,,,,,
 Ecole Des Pionniers,2041,618,109,509,,,,,,,,,,,,,,,,,,
 Fallingbrook Community Centre,1770,600,117,483,,,,,,,,,,,,,,,,,,
 St. Francis of Assisi School,1631,493,93,400,,,,,,,,,,,,,,,,,,
 Queenswood Villa,24,9,0,9,,,,,,,,,,,,,,,,,,
 St. Peter Catholic High School,1995,592,142,450,,,,,,,,,,,,,,,,,,
 The Promenade,25,15,0,15,,,,,,,,,,,,,,,,,,
 Portebello Manor,109,25,1,24,,,,,,,,,,,,,,,,,,
 Place Beausejour - Adv 1,0,23,5,18,,,,,,,,,,,,,,,,,,
 Divine Infant Catholic Church Adv 1,0,280,62,218,,,,,,,,,,,,,,,,,,
 Ottawa Public Library (Cumberland) - Adv 2,0,489,103,386,,,,,,,,,,,,,,,,,,
 Polling,19400,6641,1383,5258,,,,,,,,,,,,,,,,,,
 Adv Vote,38800,769,165,604,,,,,,,,,,,,,,,,,,
Total,19400,7410,1548,5862,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 3,Reg. Voters,Total Votes,Brian Coburn,Michael Karpishka,Anita MacDonald,Marc-André Plante,Xavier Rankin,,,,,,,,,,,,,,,
 Des Voyageurs School ,858,347,89,22,89,36,111,,,,,,,,,,,,,,,
Convent Glen Catholic School,669,242,84,20,58,19,61,,,,,,,,,,,,,,,
 Residence Saint-Louis,89,0,0,0,0,0,0,,,,,,,,,,,,,,,
 Divine Infant Catholic Church,338,113,38,6,28,8,33,,,,,,,,,,,,,,,
 Orleans Wood Elementary School,432,156,41,4,56,12,43,,,,,,,,,,,,,,,
 Convent Glen Elementary School,537,167,51,6,45,18,47,,,,,,,,,,,,,,,
 Orleans Villa,2,1,0,0,0,1 1,0,,,,,,,,,,,,,,,
 Divine Infant School,787,259,94,8,66,28,63,,,,,,,,,,,,,,,
 Ecole elementaire Reine-des-Bois,672,271,102,12,78,19,60,,,,,,,,,,,,,,,
 Our Lady of Wisdom School,714,286,105,10,77,15,79,,,,,,,,,,,,,,,
 Ecole Des Pionniers,921,317,111,6,91,28,81,,,,,,,,,,,,,,,
 Fallingbrook Community Centre,755,235,89,12,47,22,65,,,,,,,,,,,,,,,
