Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Ecole catholique Roger Saint-Denis,2481,965,2,3,173,2,1,68,1,0,0,0,0,23,197,2,1,0,4,5,481,2
Kanata Baptist Church,2988,1080,4,2,153,3,1,93,0,2,0,0,0,39,246,1,0,1,9,0,525,1
Holy Trinity Catholic High School,3554,1414,1,0,185,0,0,121,0,1,1,0,0,57,380,0,1,1,8,7,646,5
Empress Kanata Retirement Residence,67,31,1,0,1,0,0,5,0,1,0,0,0,0,9,0,1,0,0,0,13,0
Garden Terrace Long Term Care,144,32,0,0,1,1,1,1,0,0,0,0,0,1,10,0,0,1,0,0,16,0
Glen Cairn Community Centre,3813,1490,3,1,183,6,0,166,0,1,0,1,0,55,423,2,4,0,12,3,628,2
Kanata Retirement Residence,92,61,0,0,0,0,2,9,0,1,0,0,0,0,15,0,0,1,0,0,33,0
Glen Cairn United Church,2861,1178,2,4,133,1,1,138,2,2,1,1,0,47,308,1,3,2,2,1,528,1
St. James Catholic School,2711,992,2,3,115,1,1,85,1,0,0,0,1,27,263,0,2,0,6,2,483,0
W.O. Mitchell Elementary School,3212,1487,0,3,183,3,2,125,0,3,0,1,0,26,446,0,3,0,5,5,680,2
Stonehaven Manor Retirement Residence,88,71,1,0,7,1,0,6,1,0,0,0,0,0,18,0,0,0,0,1,36,0
Eva James Memorial Recreation Centre,3195,1381,1,5,187,1,3,117,1,6,0,1,0,39,392,1,2,2,2,1,617,3
Ecole elementaire Elisabeth-Bruyere,2106,896,3,0,106,1,2,55,0,0,0,1,1,21,229,0,0,0,1,3,471,2
St. Anne Catholic School,2798,1075,3,5,100,3,2,77,0,1,1,0,0,40,285,3,2,2,4,7,538,2
Bridlewood Church of the Nazarene,299,142,0,0,11,1,0,11,0,1,0,0,0,3,50,0,0,0,4,1,59,1
Fairfield Manor - Adv 2,0,13,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,1,0,3,0
Bridlewood Trails Retirement - Adv 2,0,34,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,18,0
Eva James Memorial R.C. - Adv 1,0,682,3,0,36,0,1,158,0,0,0,0,0,18,194,2,0,0,1,1,268,0
Glen Cairn Community Centre - Adv 2,0,994,3,0,72,0,1,109,0,1,0,0,0,35,313,2,0,0,4,1,452,1
Polling,30409,12342,23,26,1538,24,16,1087,6,19,3,5,2,378,3286,10,19,10,58,36,5775,21
Adv Vote,60818,1676,6,0,108,0,2,267,0,1,0,0,0,53,507,4,0,0,5,2,720,1
Total,30409,14018,29,26,1646,24,18,1354,6,20,3,5,2,431,3793,14,19,10,63,38,6495,22
,,,,,,,,,,,,,,,,,,,,,,
