Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Villa Lucia,647,306,0,0,42,0,0,33,1,0,0,0,0,9,108,0,0,0,0,3,110,0
 Riverpark Place,1177,648,0,1,93,0,0,88,1,2,0,0,0,13,133,0,0,0,2,2,311,2
Maki Community Centre ,1389,744,2,0,80,0,1,86,3,1,0,0,0,18,172,0,1,0,2,0,377,1
Lakeview Public School,108,64,0,0,4,0,0,7,0,0,0,0,0,0,16,0,0,0,1,1,34,1
Bayshore Catholic Elementary School,2210,578,4,13,60,2,2,48,1,0,1,0,1,10,108,2,0,0,0,8,318,0
Dr. F.J. McDonald Catholic School ,1252,441,1,7,81,1,1,26,0,4,0,0,1,8,79,0,2,0,2,2,226,0
Michele Heights Community Centre ,1801,438,1,1,71,1,1,34,0,0,0,0,0,10,64,0,0,1,8,6,240,0
Foster Farm Community Centre,2371,696,5,27,82,4,4,48,0,2,2,1,1,8,126,2,1,0,5,6,372,0
Ron Kolbus Lakeside Centre ,1686,653,0,0,149,0,1,46,1,0,0,1,2,13,119,0,0,0,3,5,313,0
Regina Street Public School,2771,591,0,1,112,3,0,43,1,3,1,0,1,9,120,0,0,0,5,6,284,2
Severn Avenue Public School ,2426,1112,2,0,223,1,1,89,0,1,0,0,0,22,253,1,0,1,4,8,504,2
Sterling Place,69,37,0,0,3,0,0,7,0,0,0,0,0,2,8,0,0,0,1,0,16,0
Our Lady of Fatima Church ,3169,722,1,0,142,0,0,62,0,2,0,0,1,16,136,0,2,0,9,3,347,1
Woodroffe Avenue Public School ,1548,701,2,3,124,0,1,32,1,0,0,1,0,6,120,0,1,0,1,3,406,0
Bromley Road Baptist Church ,2033,703,0,1,124,0,0,36,0,0,0,1,0,13,120,0,0,0,2,2,404,0
New Orchard Lodge,93,25,0,0,1,1,1,3,1,1,0,2,0,2,4,0,0,0,0,1,8,0
Central Park Lodge 1 2,145,58,0,0,3,0,0,11,1,0,0,0,0,1,7,0,0,0,0,0,34,1
