Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Cedarview Middle School,3197,1295,4,2,146,1,4,120,0,2,0,0,0,34,382,2,1,0,5,2,586,4
St. Patrick Catholic School,2867,1047,1,1,118,0,2,129,2,1,0,0,0,28,273,0,1,0,6,4,478,3
St. Elizabeth Ann Seton Catholic School,3756,1566,2,2,138,0,1,170,1,1,0,0,1,36,420,0,3,0,7,6,776,2
John McCrae Secondary School,3477,1248,4,1,161,1,2,160,0,2,1,1,1,55,292,2,1,1,3,2,556,2
St. Luke Catholic School ,3319,1201,4,4,112,0,0,126,2,2,1,1,0,37,315,3,0,1,7,5,580,1
Haven Baptist Church ,1768,722,2,2,78,1,0,72,0,1,0,0,0,32,203,1,2,0,2,3,322,1
Ottawa Christian School,2867,976,6,1,101,0,2,81,1,1,2,0,0,30,300,0,2,1,2,3,443,0
 Barrhaven United Church ,2012,640,6,0,82,0,3,77,1,1,0,0,0,19,163,4,1,0,4,3,275,1
Barrhaven Manor,90,39,0,0,1,0,1,8,0,1,0,0,0,0,11,0,0,0,0,0,17,0
Mother Teresa Catholic School,3410,1208,4,3,139,2,2,100,2,1,0,0,0,37,281,0,2,0,4,3,627,1
Longfields Manor,114,22,0,0,1,0,1,4,0,0,0,0,0,0,8,0,0,0,0,0,8,0
Ecole publique Michaelle-Jean,3119,1172,3,11,109,0,1,93,0,1,0,1,1,41,287,2,1,0,1,8,609,3
Pierre Elliot Trudeau School - Adv 1,0,460,0,2,23,0,2,67,0,1,0,0,0,8,97,0,1,1,1,2,255,0
Walter Baker Sports Centre - Adv 2,0,932,0,3,58,1,5,98,1,0,0,0,0,37,303,0,5,0,4,5,411,1
Polling,29996,11136,36,27,1186,5,19,1140,9,14,4,3,3,349,2935,14,14,3,41,39,5277,18
 Adv Vote ,59992,1392,0,5,81,1,7,165,1,1,0,0,0,45,400,0,6,1,5,7,666,1
Total,29996,12528,36,32,1267,6,26,1305,10,15,4,3,3,394,3335,14,20,4,46,46,5943,19
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 3,Reg. Voters,Total Votes,Jan Harder,Rustin Hollywood,Joseph King,,,,,,,,,,,,,,,,,
Cedarview Middle School,3197,1295,898,282,115,,,,,,,,,,,,,,,,,
St. Patrick Catholic School,2867,1046,735,237,74,,,,,,,,,,,,,,,,,
St. Elizabeth Ann Seton Catholic School,3756,1561,1084,364,113,,,,,,,,,,,,,,,,,
John McCrae Secondary School,3477,1245,820,300,125,,,,,,,,,,,,,,,,,
St. Luke Catholic School ,3319,1192,750,290,152,,,,,,,,,,,,,,,,,
Haven Baptist Church ,1768,720,470,154,96,,,,,,,,,,,,,,,,,
Ottawa Christian School,2867,970,671,220,79,,,,,,,,,,,,,,,,,
 Barrhaven United Church ,2012,638,392,174,72,,,,,,,,,,,,,,,,,
Barrhaven Manor,90,34,28,3,3,,,,,,,,,,,,,,,,,
Mother Teresa Catholic School,3410,1195,706,328,161,,,,,,,,,,,,,,,,,
Longfields Manor,114,22,17,3,2,,,,,,,,,,,,,,,,,
Ecole publique Michaelle-Jean,3119,1164,741,292,131,,,,,,,,,,,,,,,,,
Pierre Elliot Trudeau School - Adv 1,0,454,313,97,44,,,,,,,,,,,,,,,,,
Walter Baker Sports Centre - Adv 2,0,926,638,200,88,,,,,,,,,,,,,,,,,
Polling,29996,11082,7312,2647,1123,,,,,,,,,,,,,,,,,
 Adv Vote ,59992,1380,951,297,132,,,,,,,,,,,,,,,,,
Total,29996,12462,8263,2944,1255,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 3,Reg. Voters,Total Votes,Donna Blackburn,Allan Halfper,Ismail Mohamed,,,,,,,,,,,,,,,,,
Cedarview Middle School,2330,868,516,289,63,,,,,,,,,,,,,,,,,
St. Patrick Catholic School,1935,646,374,234,38,,,,,,,,,,,,,,,,,
St. Elizabeth Ann Seton Catholic School,2476,921,555,321,45,,,,,,,,,,,,,,,,,
John McCrae Secondary School,2394,785,464,272,49,,,,,,,,,,,,,,,,,
St. Luke Catholic School ,2067,619,270,304,45,,,,,,,,,,,,,,,,,
Haven Baptist Church ,1214,434,251,156,27,,,,,,,,,,,,,,,,,
Ottawa Christian School,2345,656,315,269,72,,,,,,,,,,,,,,,,,
 Barrhaven United Church ,1313,375,210,152,13,,,,,,,,,,,,,,,,,
Barrhaven Manor,65,21,10,10,1,,,,,,,,,,,,,,,,,
Mother Teresa Catholic School,2503,716,313,294,109,,,,,,,,,,,,,,,,,
Longfields Manor,99,15,7,6,2,,,,,,,,,,,,,,,,,
Ecole publique Michaelle-Jean,2062,630,251,290,89,,,,,,,,,,,,,,,,,
Pierre Elliot Trudeau School - Adv 1,0,282,151,84,47,,,,,,,,,,,,,,,,,
Walter Baker Sports Centre - Adv 2,0,573,323,212,38,,,,,,,,,,,,,,,,,
Polling,20803,6686,3536,2597,553,,,,,,,,,,,,,,,,,
 Adv Vote ,41606,855,474,296,85,,,,,,,,,,,,,,,,,
Total,20803,7541,4010,2893,638,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCSB Zone 4,Reg. Voters,Total Votes,Alison Baizana,Cathy Maguire-Urban,,,,,,,,,,,,,,,,,,
Cedarview Middle School,745,290,144,146,,,,,,,,,,,,,,,,,,
St. Patrick Catholic School,794,264,104,160,,,,,,,,,,,,,,,,,,
St. Elizabeth Ann Seton Catholic School,1166,496,220,276,,,,,,,,,,,,,,,,,,
John McCrae Secondary School,939,341,160,181,,,,,,,,,,,,,,,,,,
St. Luke Catholic School ,1033,440,185,255,,,,,,,,,,,,,,,,,,
Haven Baptist Church ,471,204,120,84,,,,,,,,,,,,,,,,,,
Ottawa Christian School,392,195,96,99,,,,,,,,,,,,,,,,,,
 Barrhaven United Church ,614,177,83,94,,,,,,,,,,,,,,,,,,
Barrhaven Manor,25,10,3,7,,,,,,,,,,,,,,,,,,
Mother Teresa Catholic School,728,325,171,154,,,,,,,,,,,,,,,,,,
Longfields Manor,9,1,1,0,,,,,,,,,,,,,,,,,,
Ecole publique Michaelle-Jean,875,368,188,180,,,,,,,,,,,,,,,,,,
Pierre Elliot Trudeau School - Adv 1,0,125,73,52,,,,,,,,,,,,,,,,,,
Walter Baker Sports Centre - Adv 2,0,233,135,98,,,,,,,,,,,,,,,,,,
Polling,7791,3111,1475,1636,,,,,,,,,,,,,,,,,,
 Adv Vote ,15582,358,208,150,,,,,,,,,,,,,,,,,,
Total,7791,3469,1683,1786,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CEPEO Secteur 12,Reg. Voters,Total Votes,Bernard Bareilhe,Abdourahman Kahin,Linda Savard,,,,,,,,,,,,,,,,,
Cedarview Middle School,18,7,0,2,5,,,,,,,,,,,,,,,,,
St. Patrick Catholic School,28,10,2,0,8,,,,,,,,,,,,,,,,,
St. Elizabeth Ann Seton Catholic School,31,14,0,2,12,,,,,,,,,,,,,,,,,
John McCrae Secondary School,44,18,3,0,15,,,,,,,,,,,,,,,,,
St. Luke Catholic School ,56,17,0,1,16,,,,,,,,,,,,,,,,,
Haven Baptist Church ,6,4,0,1,3,,,,,,,,,,,,,,,,,
Ottawa Christian School,24,4,2,0,2,,,,,,,,,,,,,,,,,
 Barrhaven United Church ,35,16,3,0,13,,,,,,,,,,,,,,,,,
Barrhaven Manor,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mother Teresa Catholic School,62,15,1,0,14,,,,,,,,,,,,,,,,,
Longfields Manor,0,0,0,0,0,,,,,,,,,,,,,,,,,
Ecole publique Michaelle-Jean,59,21,0,2,19,,,,,,,,,,,,,,,,,
Pierre Elliot Trudeau School - Adv 1,0,10,1,0,9,,,,,,,,,,,,,,,,,
Walter Baker Sports Centre - Adv 2,0,11,0,3,8,,,,,,,,,,,,,,,,,
Polling,363,126,11,8,107,,,,,,,,,,,,,,,,,
 Adv Vote ,726,21,1,3,17,,,,,,,,,,,,,,,,,
Total,363,147,12,11,124,,,,,,,,,,,,,,,,,
