Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Glen Ogilvie Public School,2054,963,6,1,139,0,3,48,0,1,1,0,0,13,286,0,0,3,1,3,457,1
Ecole secondaire Louis-Riel,1760,788,3,1,98,1,1,33,2,0,1,0,0,10,212,2,0,0,4,2,416,2
Madonna Long Term Care Residence,158,26,0,0,4,0,0,4,0,0,0,0,0,0,8,1,0,0,0,0,9,0
St. Joseph Manor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amica at Bearbrook,143,51,0,0,5,0,1,3,0,0,0,0,0,1,11,0,0,0,0,0,30,0
Chapel Hill Catholic School ,2933,1203,0,0,162,1,6,43,1,0,0,0,2,16,297,0,4,0,4,0,666,1
Forest Valley Elementary School ,2239,744,1,0,72,1,2,24,1,0,1,0,0,6,184,0,0,0,1,2,449,0
Ecole catholique L'Etoile-de-l'Est,3058,1007,1,0,104,0,11,46,0,1,0,1,1,20,217,1,3,1,0,3,597,0
Ecole catholique Saint-Joseph d'Orleans ,2460,906,2,0,128,0,10,39,0,0,0,0,0,18,161,0,5,0,1,4,538,0
Henry Larsen Elementary School ,3339,1371,3,1,179,0,12,73,1,1,0,0,0,24,303,3,0,2,4,1,763,1
Blessed Kateri Tekakwitha School ,3530,1289,2,1,183,1,13,70,1,0,0,0,1,27,273,0,1,3,10,5,698,0
Belcourt Manor,111,84,0,0,9,1,6,0,0,0,1,0,0,0,12,0,0,0,0,2,53,0
Blackburn Community Centre,2442,804,5,2,92,0,5,47,0,3,1,2,0,29,219,0,5,1,6,7,378,2
 Blackburn Lodge Seniors Residence,47,27,0,0,2,0,0,2,1,0,0,0,0,0,8,0,0,0,0,0,14,0
Ecole elementaire publique Le Prelude,3192,1344,13,5,149,2,10,56,1,0,2,2,0,34,288,1,3,0,6,2,768,2
