Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
St. Mark Catholic High School,3831,1355,5,0,156,0,3,83,1,2,0,1,1,90,481,0,0,0,6,2,523,1
St. Mary Catholic School,1168,411,0,0,42,0,2,44,1,1,0,0,0,24,160,0,0,0,1,2,132,2
Greely Community Centre,3950,1546,6,0,140,1,5,124,0,0,0,0,0,73,608,3,3,0,8,7,568,0
Community Christian School,3049,1153,1,0,122,1,2,87,1,3,1,3,2,51,468,0,2,0,8,9,391,1
Kenmore Community Hall,1160,467,1,0,48,1,3,61,1,0,0,0,0,31,173,0,0,0,3,1,143,1
Vernon Recreation Centre,1079,482,0,0,37,1,2,52,0,0,0,0,0,22,218,0,1,1,6,2,139,1
Osgoode Public School,3632,1450,1,0,162,1,0,139,0,2,0,0,1,109,511,2,1,0,5,4,510,2
Orchard View Living Centre,138,78,0,1,4,1,1,8,0,1,0,0,0,1,27,0,0,0,1,0,33,0
Osgoode Township Care Centre,88,29,0,1,0,0,2,1,1,1,0,0,1,3,11,1,0,0,0,0,6,1
Stanley Apartments - Adv 1,0,31,0,0,1,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,16,0
Dr. Robert A. Dowd Place - Adv 1,0,18,1,0,2,0,0,5,0,0,0,0,0,3,4,0,0,0,0,0,2,1
Greely Community Centre - Adv 1,0,304,0,0,19,0,0,66,0,1,0,0,0,2,115,0,1,0,3,0,97,0
Osgoode Public School - Adv 1,0,115,0,0,8,0,1,24,0,0,0,0,0,7,38,0,0,0,2,0,35,0
Greely Community Centre - Adv 2,0,365,0,0,14,2,0,33,0,0,0,0,1,16,132,0,1,0,5,0,161,0
Osgoode Township High School - Adv 2,0,233,0,0,14,0,1,34,0,0,0,0,0,9,86,0,0,0,0,0,88,1
Polling,18095,7020,15,2,714,6,20,611,5,10,1,4,5,407,2668,6,7,1,38,27,2463,10
Adv Vote,36190,1017,0,0,55,2,2,157,0,1,0,0,1,34,371,0,2,0,10,0,381,1
Total,18095,8037,15,2,769,8,22,768,5,11,1,4,6,441,3039,6,9,1,48,27,2844,11
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 20,Reg. Voters,Total Votes,Bob Masaro,Mark Scharfe,Doug Thompson,,,,,,,,,,,,,,,,,
St. Mark Catholic High School,3831,1344,184,288,872,,,,,,,,,,,,,,,,,
St. Mary Catholic School,1168,410,22,122,266,,,,,,,,,,,,,,,,,
Greely Community Centre,3950,1544,129,331,1084,,,,,,,,,,,,,,,,,
Community Christian School,3049,1154,88,262,804,,,,,,,,,,,,,,,,,
Kenmore Community Hall,1160,465,40,116,309,,,,,,,,,,,,,,,,,
Vernon Recreation Centre,1079,481,33,162,286,,,,,,,,,,,,,,,,,
Osgoode Public School,3632,1449,169,306,974,,,,,,,,,,,,,,,,,
Orchard View Living Centre,138,74,1,11,62,,,,,,,,,,,,,,,,,
Osgoode Township Care Centre,88,29,1,6,22,,,,,,,,,,,,,,,,,
Stanley Apartments - Adv 1,0,31,1,4,26,,,,,,,,,,,,,,,,,
Dr. Robert A. Dowd Place - Adv 1,0,18,12,0,6,,,,,,,,,,,,,,,,,
Greely Community Centre - Adv 1,0,305,10,94,201,,,,,,,,,,,,,,,,,
Osgoode Public School - Adv 1,0,115,4,28,83,,,,,,,,,,,,,,,,,
Greely Community Centre - Adv 2,0,365,40,81,244,,,,,,,,,,,,,,,,,
Osgoode Township High School - Adv 2,0,234,18,62,154,,,,,,,,,,,,,,,,,
Polling,18095,6999,680,1608,4711,,,,,,,,,,,,,,,,,
Adv Vote,36190,1019,72,265,682,,,,,,,,,,,,,,,,,
