Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Total,18095,8018,752,1873,5393,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 7,Reg. Voters,Total Votes,Dave Byron,Mark Fisher,Pam Morse,,,,,,,,,,,,,,,,,
St. Mark Catholic High School,2463,644,53,325,266,,,,,,,,,,,,,,,,,
St. Mary Catholic School,772,212,14,98,100,,,,,,,,,,,,,,,,,
Greely Community Centre,2452,882,44,463,375,,,,,,,,,,,,,,,,,
Community Christian School,2119,720,40,421,259,,,,,,,,,,,,,,,,,
Kenmore Community Hall,881,291,22,141,128,,,,,,,,,,,,,,,,,
Vernon Recreation Centre,817,317,13,148,156,,,,,,,,,,,,,,,,,
Osgoode Public School,2683,961,50,459,452,,,,,,,,,,,,,,,,,
Orchard View Living Centre,0,46,6,16,24,,,,,,,,,,,,,,,,,
Osgoode Township Care Centre,88,26,4,15,7,,,,,,,,,,,,,,,,,
Stanley Apartments - Adv 1,0,18,3,10,5,,,,,,,,,,,,,,,,,
Dr. Robert A. Dowd Place - Adv 1,0,9,0,4,5,,,,,,,,,,,,,,,,,
Greely Community Centre - Adv 1,0,204,5,117,82,,,,,,,,,,,,,,,,,
Osgoode Public School - Adv 1,0,91,8,40,43,,,,,,,,,,,,,,,,,
Greely Community Centre - Adv 2,0,224,14,111,99,,,,,,,,,,,,,,,,,
Osgoode Township High School - Adv 2,0,151,6,101,44,,,,,,,,,,,,,,,,,
Polling,12275,4126,249,2100,1777,,,,,,,,,,,,,,,,,
Adv Vote,24550,670,33,369,268,,,,,,,,,,,,,,,,,
Total,12275,4796,282,2469,2045,,,,,,,,,,,,,,,,,
