Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
A. Lorne Cassidy Elementary School,3592,1389,2,0,146,0,1,85,0,0,0,0,1,43,499,1,2,0,4,4,601,0
 Holy Spirit Elementary School ,3610,1415,0,1,149,1,0,99,0,0,0,0,0,56,535,1,1,3,4,4,559,2
Stittsville Villa Manor,63,71,0,0,4,0,0,5,0,2,1,0,0,1,29,0,1,0,1,0,27,0
Stittsville Community Centre,2007,748,1,0,89,0,0,61,0,1,0,0,0,28,261,2,1,0,2,0,301,1
Guardian Angels Catholic School ,2762,1101,1,5,120,0,3,90,0,1,1,0,0,43,354,2,1,0,3,2,473,2
Granite Ridge,189,38,0,0,2,0,1,2,0,0,0,0,0,0,15,0,0,1,0,0,17,0
Goulbourn Recreation Complex,2686,1030,0,0,100,0,1,66,0,0,0,0,1,30,391,1,0,0,11,1,426,2
Jean Paul II Catholic Elementary School,2561,746,4,1,93,0,0,67,1,3,0,1,0,14,228,2,1,0,4,2,325,0
Stittsville Community Centre - Adv 1,0,494,0,0,23,0,0,99,1,0,0,0,0,15,176,0,0,1,1,1,177,0
Goulbourn Recreation Centre - Adv 2,0,867,1,0,45,0,3,90,0,1,0,0,0,35,396,1,0,1,3,1,289,1
Total Polling,17470,6538,8,7,703,1,6,475,1,7,2,1,2,215,2312,9,7,4,29,13,2729,7
 Adv Vote ,34940,1361,1,0,68,0,3,189,1,1,0,0,0,50,572,1,0,2,4,2,466,1
Total,17470,7899,9,7,771,1,9,664,2,8,2,1,2,265,2884,10,7,6,33,15,3195,8
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 6,Reg. Voters,Total Votes,Richard Eveleigh,Shad Qadri,,,,,,,,,,,,,,,,,,
A. Lorne Cassidy Elementary School,3592,1386,101,1285,,,,,,,,,,,,,,,,,,
 Holy Spirit Elementary School ,3610,1399,114,1285,,,,,,,,,,,,,,,,,,
Stittsville Villa Manor,63,70,6,64,,,,,,,,,,,,,,,,,,
Stittsville Community Centre,2007,741,59,68,,,,,,,,,,,,,,,,,,
Guardian Angels Catholic School ,2762,1099,93,1006,,,,,,,,,,,,,,,,,,
Granite Ridge,189,36,7,29,,,,,,,,,,,,,,,,,,
Goulbourn Recreation Complex,2686,1027,72,955,,,,,,,,,,,,,,,,,,
Jean Paul II Catholic Elementary School,2561,742,98,644,,,,,,,,,,,,,,,,,,
Stittsville Community Centre - Adv 1,0,493,48,445,,,,,,,,,,,,,,,,,,
Goulbourn Recreation Centre - Adv 2,0,863,73,790,,,,,,,,,,,,,,,,,,
Total Polling,17470,6500,550,5950,,,,,,,,,,,,,,,,,,
 Adv Vote ,34940,1356,121,1235,,,,,,,,,,,,,,,,,,
Total,17470,7856,671,7185,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 1,Reg. Voters,Total Votes,Todd Johnson,Lynn Scott,,,,,,,,,,,,,,,,,,
A. Lorne Cassidy Elementary School,2500,874,233,641,,,,,,,,,,,,,,,,,,
 Holy Spirit Elementary School ,2682,947,253,694,,,,,,,,,,,,,,,,,,
Stittsville Villa Manor,52,49,14,35,,,,,,,,,,,,,,,,,,
Stittsville Community Centre,1363,434,126,308,,,,,,,,,,,,,,,,,,
Guardian Angels Catholic School ,1835,604,179,425,,,,,,,,,,,,,,,,,,
Granite Ridge,183,30,10,20,,,,,,,,,,,,,,,,,,
Goulbourn Recreation Complex,1767,621,162,459,,,,,,,,,,,,,,,,,,
Jean Paul II Catholic Elementary School,1967,495,112,383,,,,,,,,,,,,,,,,,,
Stittsville Community Centre - Adv 1,0,319,66,253,,,,,,,,,,,,,,,,,,
Goulbourn Recreation Centre - Adv 2,0,601,156,445,,,,,,,,,,,,,,,,,,
Total Polling,12349,4054,1089,2965,,,,,,,,,,,,,,,,,,
 Adv Vote ,24698,920,222,698,,,,,,,,,,,,,,,,,,
Total,12349,4974,1311,3663,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CEPEO Secteur 12,Reg. Voters,Total Votes,Bernard Bareilhe,Abdourahman Kahin,Linda Savard,,,,,,,,,,,,,,,,,
A. Lorne Cassidy Elementary School,24,6,1,1,4,,,,,,,,,,,,,,,,,
 Holy Spirit Elementary School ,24,7,2,0,5,,,,,,,,,,,,,,,,,
Stittsville Villa Manor,0,0,0,0,0,,,,,,,,,,,,,,,,,
Stittsville Community Centre,6,5,0,1,4,,,,,,,,,,,,,,,,,
Guardian Angels Catholic School ,13,10,3,1,6,,,,,,,,,,,,,,,,,
Granite Ridge,0,0,0,0,0,,,,,,,,,,,,,,,,,
Goulbourn Recreation Complex,13,2,0,0,2,,,,,,,,,,,,,,,,,
Jean Paul II Catholic Elementary School,19,5,0,1,4,,,,,,,,,,,,,,,,,
Stittsville Community Centre - Adv 1,0,2,0,0,2,,,,,,,,,,,,,,,,,
Goulbourn Recreation Centre - Adv 2,0,6,0,0,6,,,,,,,,,,,,,,,,,
Total Polling,99,35,6,4,25,,,,,,,,,,,,,,,,,
 Adv Vote ,198,8,0,0,8,,,,,,,,,,,,,,,,,
Total,99,43,6,4,33,,,,,,,,,,,,,,,,,
