Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Prince of Peace Catholic School,2789,626,13,8,65,1,1,29,3,1,1,1,0,14,115,5,3,1,4,2,357,2
Dunlop Public School,2077,816,1,1,124,1,2,31,1,0,2,1,0,22,252,0,2,0,4,1,368,3
Greenboro Community Centre,3754,1342,12,12,203,10,3,53,3,2,2,2,1,26,282,1,1,0,9,9,711,0
St. Marguerite d'Youville Catholic School,3585,1207,6,9,129,1,5,57,1,2,0,0,0,23,273,1,4,3,5,7,680,1
Robert Bateman Public School,3466,1244,8,2,116,5,3,49,1,2,0,1,0,28,313,0,3,5,7,0,700,1
St. Thomas More Catholic School,2671,1000,9,10,82,0,1,44,1,0,2,0,0,19,273,5,2,1,1,1,549,0
Hunt Club Manor,60,41,0,0,10,0,0,1,0,0,0,0,0,0,11,0,0,1,0,0,18,0
Elizabeth Park Public School,1940,515,2,1,77,1,1,24,0,0,1,0,0,10,114,1,1,1,1,1,279,0
Sawmill Creek Community Centre,1557,306,5,3,47,0,0,16,3,0,0,0,0,7,65,0,0,0,2,0,158,0
Ecole elementaire publique Gabrielle-Roy,1642,594,7,0,90,1,2,43,1,0,0,0,0,22,162,0,1,0,1,2,262,0
St. Bernard Catholic School,3178,1013,4,6,139,0,2,77,0,4,1,0,2,30,234,0,1,0,3,8,500,2
Ecole elementaire Sainte-Bernadette,2950,1077,5,1,124,2,6,64,0,2,1,2,1,28,331,2,1,1,3,1,502,0
Bridlewood Retirement Home,29,28,0,0,3,0,0,1,0,0,0,0,0,1,13,0,0,0,0,0,10,0
Heatherington Manor - Adv 1,0,33,1,2,0,1,3,6,0,1,0,0,0,3,4,0,0,0,0,0,12,0
Walkley Manor - Adv 1,0,88,4,0,4,1,5,12,0,2,0,1,1,5,14,0,1,1,0,2,35,0
Strathmore Towers B - Adv 1,0,99,0,0,15,0,0,16,0,0,0,0,0,3,28,0,0,0,0,1,36,0
Strathmore Towers A - Adv 1,0,88,0,0,5,0,0,16,0,1,0,0,1,1,26,0,0,0,0,0,38,0
Atrium I - Adv 1,0,77,0,0,6,0,0,4,0,0,0,0,0,2,35,0,0,0,0,0,30,0
Atrium II - Adv 1,0,115,0,0,4,0,0,25,0,1,1,0,0,0,27,0,1,0,0,0,56,0
Greenboro Community Centre - Adv 1,0,576,3,5,43,0,1,67,0,1,1,0,1,8,138,1,1,3,3,2,296,2
Greenboro Community Centre - Adv 2,0,554,3,2,37,0,2,47,1,1,0,0,0,14,153,0,1,0,1,1,291,0
Sawmill Creek Community Centre - Adv 2,0,493,1,0,55,1,2,44,0,0,0,0,0,22,143,0,1,0,2,1,219,2
Polling,29698,10309,77,55,1243,24,34,568,14,18,11,8,6,244,2572,15,21,14,40,35,5301,9
Adv Vote,59396,1623,7,7,135,1,5,158,1,2,1,0,1,44,434,1,3,3,6,4,806,4
Total,29698,11932,84,62,1378,25,39,726,15,20,12,8,7,288,3006,16,24,17,46,39,6107,13
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 10,Reg. Voters,Total Votes,Diane Deans,Lilly Obina,Leslie Saintilma,Wade Wallace,,,,,,,,,,,,,,,,
Prince of Peace Catholic School,2789,624,336,180,33,75,,,,,,,,,,,,,,,,
Dunlop Public School,2077,818,379,310,11,118,,,,,,,,,,,,,,,,
Greenboro Community Centre,3754,1338,664,485,27,162,,,,,,,,,,,,,,,,
St. Marguerite d'Youville Catholic School,3585,1208,623,420,28,137,,,,,,,,,,,,,,,,
Robert Bateman Public School,3466,1248,639,440,22,147,,,,,,,,,,,,,,,,
St. Thomas More Catholic School,2671,999,413,466,15,105,,,,,,,,,,,,,,,,
Hunt Club Manor,60,39,28,5,2,4,,,,,,,,,,,,,,,,
Elizabeth Park Public School,1940,509,251,166,25,67,,,,,,,,,,,,,,,,
Sawmill Creek Community Centre,1557,303,137,114,6,46,,,,,,,,,,,,,,,,
Ecole elementaire publique Gabrielle-Roy,1642,593,274,186,18,115,,,,,,,,,,,,,,,,
St. Bernard Catholic School,3178,1016,397,316,44,259,,,,,,,,,,,,,,,,
