Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Ecole elementaire Sainte-Bernadette,2950,1077,485,314,43,235,,,,,,,,,,,,,,,,
Bridlewood Retirement Home,29,27,16,8,0,3,,,,,,,,,,,,,,,,
Heatherington Manor - Adv 1,0,31,14,4,4,9,,,,,,,,,,,,,,,,
Walkley Manor - Adv 1,0,85,59,8,2,16,,,,,,,,,,,,,,,,
Strathmore Towers B - Adv 1,0,98,51,18,2,27,,,,,,,,,,,,,,,,
Strathmore Towers A - Adv 1,0,88,50,17,3,18,,,,,,,,,,,,,,,,
Atrium I - Adv 1,0,74,28,17,3,26,,,,,,,,,,,,,,,,
Atrium II - Adv 1,0,111,53,26,4,28,,,,,,,,,,,,,,,,
Greenboro Community Centre - Adv 1,0,575,356,112,19,88,,,,,,,,,,,,,,,,
Greenboro Community Centre - Adv 2,0,557,314,135,12,96,,,,,,,,,,,,,,,,
Sawmill Creek Community Centre - Adv 2,0,492,207,117,11,157,,,,,,,,,,,,,,,,
Polling,29698,10286,4897,3500,292,1597,,,,,,,,,,,,,,,,
Adv Vote,59396,1624,877,364,42,341,,,,,,,,,,,,,,,,
Total,29698,11910,5774,3864,334,1938,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 7,Reg. Voters,Total Votes,Dave Byron,Mark Fisher,Pam Morse,,,,,,,,,,,,,,,,,
Prince of Peace Catholic School,2039,416,59,263,94,,,,,,,,,,,,,,,,,
Dunlop Public School,1553,540,40,343,157,,,,,,,,,,,,,,,,,
Greenboro Community Centre,2576,823,75,513,235,,,,,,,,,,,,,,,,,
St. Marguerite d'Youville Catholic School,2450,704,69,399,236,,,,,,,,,,,,,,,,,
Robert Bateman Public School,2273,751,76,427,248,,,,,,,,,,,,,,,,,
St. Thomas More Catholic School,1658,538,46,336,156,,,,,,,,,,,,,,,,,
Hunt Club Manor,51,29,7,16,6,,,,,,,,,,,,,,,,,
Elizabeth Park Public School,1421,298,39,137,122,,,,,,,,,,,,,,,,,
Sawmill Creek Community Centre,1204,209,28,97,84,,,,,,,,,,,,,,,,,
Ecole elementaire publique Gabrielle-Roy,977,318,20,124,174,,,,,,,,,,,,,,,,,
St. Bernard Catholic School,2053,572,41,295,236,,,,,,,,,,,,,,,,,
Ecole elementaire Sainte-Bernadette,1738,540,50,272,218,,,,,,,,,,,,,,,,,
Bridlewood Retirement Home,28,18,3,9,6,,,,,,,,,,,,,,,,,
Heatherington Manor - Adv 1,0,23,4,11,8,,,,,,,,,,,,,,,,,
Walkley Manor - Adv 1,0,63,14,35,14,,,,,,,,,,,,,,,,,
Strathmore Towers B - Adv 1,0,66,7,20,39,,,,,,,,,,,,,,,,,
Strathmore Towers A - Adv 1,0,55,5,17,33,,,,,,,,,,,,,,,,,
Atrium I - Adv 1,0,45,3,27,15,,,,,,,,,,,,,,,,,
Atrium II - Adv 1,0,72,11,30,31,,,,,,,,,,,,,,,,,
Greenboro Community Centre - Adv 1,0,364,33,186,145,,,,,,,,,,,,,,,,,
Greenboro Community Centre - Adv 2,0,364,43,200,121,,,,,,,,,,,,,,,,,
Sawmill Creek Community Centre - Adv 2,0,314,25,131,158,,,,,,,,,,,,,,,,,
Polling,20021,6080,597,3371,2112,,,,,,,,,,,,,,,,,
Adv Vote,40042,1042,101,517,424,,,,,,,,,,,,,,,,,
Total,20021,7122,698,3888,2536,,,,,,,,,,,,,,,,,
