Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Villa Marconi,87,7,5,2,0,,,,,,,,,,,,,,,,,
Parkwood Presbyterian Church,1676,605,303,256,46,,,,,,,,,,,,,,,,,
Calvin Christian Reformed Church,1536,516,316,156,44,,,,,,,,,,,,,,,,,
St. Mark's Anglican Church,1231,366,191,124,51,,,,,,,,,,,,,,,,,
Ecole secondaire publique Omer-Deslauriers,1097,409,205,159,45,,,,,,,,,,,,,,,,,
Frank Ryan Catholic Snr. Elementary School,1991,631,334,243,54,,,,,,,,,,,,,,,,,
The Metropolitan Church,2156,709,417,240,52,,,,,,,,,,,,,,,,,
Medhurst Apartments - Adv 2,0,38,20,17,1,,,,,,,,,,,,,,,,,
Horizon House - Adv 2,0,49,29,19,1,,,,,,,,,,,,,,,,,
Chesterton Towers - Adv 2,0,79,57,21,1,,,,,,,,,,,,,,,,,
West Park Condominiums - Adv 2,0,109,62,45,2,,,,,,,,,,,,,,,,,
The Ravines Retirement Residence - Adv 2,0,30,24,1,5,,,,,,,,,,,,,,,,,
Sir Robert Borden High School - Adv 1,0,214,144,61,9,,,,,,,,,,,,,,,,,
Calvin Christian Reformed Church - Adv 1,0,163,109,42,12,,,,,,,,,,,,,,,,,
Confederation Education Centre - Adv 2,0,389,219,139,31,,,,,,,,,,,,,,,,,
Polling,19865,6880,3695,2644,541,,,,,,,,,,,,,,,,,
Adv Vote,39730,766,472,242,52,,,,,,,,,,,,,,,,,
Total,19865,7646,4167,2886,593,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CEPEO Secteur 12,Reg. Voters,Total Votes,Bernard Bareilhe,Abdourahman Kahin,Linda Savard,,,,,,,,,,,,,,,,,
Greenbank Middle School,80,40,6,0,34,,,,,,,,,,,,,,,,,
Sir Robert Borden High School,28,22,2,1,19,,,,,,,,,,,,,,,,,
Pope John XXIII Catholic School,11,3,1,0,2,,,,,,,,,,,,,,,,,
Manordale Public School,34,18,1,6,11,,,,,,,,,,,,,,,,,
Confederation Education Centre,81,27,5,8,14,,,,,,,,,,,,,,,,,
Villa Marconi,0,0,0,0,0,,,,,,,,,,,,,,,,,
Parkwood Presbyterian Church,40,8,1,3,4,,,,,,,,,,,,,,,,,
Calvin Christian Reformed Church,27,2,0,0,2,,,,,,,,,,,,,,,,,
St. Mark's Anglican Church,25,10,0,1,9,,,,,,,,,,,,,,,,,
Ecole secondaire publique Omer-Deslauriers,22,9,0,1,8,,,,,,,,,,,,,,,,,
Frank Ryan Catholic Snr. Elementary School,55,18,0,1,17,,,,,,,,,,,,,,,,,
The Metropolitan Church,64,21,1,1,19,,,,,,,,,,,,,,,,,
Medhurst Apartments - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Horizon House - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Chesterton Towers - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
West Park Condominiums - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
The Ravines Retirement Residence - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Sir Robert Borden High School - Adv 1,0,13,3,2,8,,,,,,,,,,,,,,,,,
Calvin Christian Reformed Church - Adv 1,0,2,0,0,2,,,,,,,,,,,,,,,,,
Confederation Education Centre - Adv 2,0,8,2,0,6,,,,,,,,,,,,,,,,,
Polling,467,178,17,22,139,,,,,,,,,,,,,,,,,
Adv Vote,934,23,5,2,16,,,,,,,,,,,,,,,,,
Total,467,201,22,24,155,,,,,,,,,,,,,,,,,
