Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Greenbank Middle School,3957,1714,3,4,254,4,2,163,0,2,1,0,1,30,475,2,2,0,6,5,757,3
Sir Robert Borden High School,2749,1036,1,4,129,2,1,102,0,0,0,1,1,27,316,2,0,0,2,0,445,3
Pope John XXIII Catholic School,1211,555,0,2,71,2,0,65,0,0,0,0,0,17,161,0,0,0,0,2,234,1
Manordale Public School,2258,715,2,2,86,0,1,93,1,0,2,0,1,15,215,1,5,0,5,3,281,2
Confederation Education Centre,3392,1023,0,4,127,1,0,105,0,0,0,0,4,35,262,1,2,1,5,6,468,2
Villa Marconi,87,15,2,0,0,0,0,3,0,1,0,0,0,0,4,0,0,0,0,0,5,0
Parkwood Presbyterian Church,2335,953,5,1,151,2,1,66,2,1,0,2,0,20,234,0,0,0,4,2,462,0
Calvin Christian Reformed Church,2439,967,7,6,134,1,2,78,1,4,0,0,0,17,247,3,3,0,5,8,451,0
St. Mark's Anglican Church,1765,666,1,11,100,0,2,48,2,1,0,0,0,22,158,3,3,0,2,5,308,0
Ecole secondaire publique Omer-Deslauriers,1745,768,2,0,81,0,0,45,1,0,0,0,1,23,188,0,1,0,0,2,422,2
Frank Ryan Catholic Snr. Elementary School,2705,939,3,11,136,1,3,114,1,2,0,0,0,32,222,0,2,0,7,7,395,3
The Metropolitan Church,3201,1247,4,2,198,1,0,104,1,0,1,0,0,31,332,0,0,0,4,4,564,1
Medhurst Apartments - Adv 2,0,61,0,0,6,0,2,6,1,0,0,0,0,0,17,0,0,0,0,0,29,0
Horizon House - Adv 2,0,67,0,0,7,0,0,8,0,0,0,0,0,0,24,0,0,0,0,0,28,0
Chesterton Towers - Adv 2,0,127,3,0,10,0,1,20,0,0,0,0,0,2,32,0,0,0,0,0,59,0
West Park Condominiums - Adv 2,0,153,0,0,7,1,1,27,0,0,0,0,0,3,52,0,0,0,1,0,60,1
The Ravines Retirement Residence - Adv 2,0,45,0,0,0,0,0,9,0,0,0,0,0,0,17,0,0,0,0,1,18,0
Sir Robert Borden High School - Adv 1,0,328,0,0,21,1,0,63,1,0,0,0,0,10,64,0,1,0,0,1,166,0
Calvin Christian Reformed Church - Adv 1,0,258,0,0,14,0,1,62,0,0,0,0,0,2,63,0,0,0,0,0,116,0
Confederation Education Centre - Adv 2,0,632,0,0,51,1,0,100,0,1,0,0,0,15,186,2,1,0,2,1,272,0
Polling,27844,11051,33,47,1497,15,16,1056,10,11,4,3,8,274,2956,12,18,1,41,45,4986,18
Adv Vote,55688,1218,0,0,86,2,1,225,1,1,0,0,0,27,313,2,2,0,2,2,554,0
Total,27844,12269,33,47,1583,17,17,1281,11,12,4,3,8,301,3269,14,20,1,43,47,5540,18
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 9,Reg. Voters,Total Votes,James Dean,Keith Egli,Fred Ennis,Syed Asghar Hussain,Mike Kennedy,Paul Obeda,James O’Grady,Jules Ruhinda,Al Speyers,Rod Vanier,,,,,,,,,,
Greenbank Middle School,3957,1697,108,588,6,7,25,61,729,7,44,122,,,,,,,,,,
Sir Robert Borden High School,2749,1028,114,532,6,8,10,43,130,6,50,129,,,,,,,,,,
Pope John XXIII Catholic School,1211,555,69,261,4,4,9,28,91,5,27,57,,,,,,,,,,
Manordale Public School,2258,706,107,265,17,9,14,50,81,7,55,101,,,,,,,,,,
Confederation Education Centre,3392,1013,157,276,18,17,20,35,136,23,163,168,,,,,,,,,,
Villa Marconi,87,14,5,0,1,0,0,0,0,2,4,2,,,,,,,,,,
Parkwood Presbyterian Church,2335,946,156,317,13,9,19,34,143,29,45,181,,,,,,,,,,
Calvin Christian Reformed Church,2439,933,156,311,4,13,35,32,161,18,21,182,,,,,,,,,,
St. Mark's Anglican Church,1765,646,179,169,11,19,26,25,82,28,27,80,,,,,,,,,,
Ecole secondaire publique Omer-Deslauriers,1745,757,166,221,2,3,21,30,81,22,29,182,,,,,,,,,,
Frank Ryan Catholic Snr. Elementary School,2705,929,234,231,16,10,13,28,104,30,42,221,,,,,,,,,,
The Metropolitan Church,3201,1235,102,481,9,6,20,38,257,19,36,267,,,,,,,,,,
Medhurst Apartments - Adv 2,0,58,16,7,1,0,3,2,8,0,1,20,,,,,,,,,,
Horizon House - Adv 2,0,62,20,9,0,0,5,7,8,1,0,12,,,,,,,,,,
Chesterton Towers - Adv 2,0,120,65,9,1,1,5,5,13,1,1,19,,,,,,,,,,
West Park Condominiums - Adv 2,0,152,40,32,2,0,4,3,15,1,3,52,,,,,,,,,,
The Ravines Retirement Residence - Adv 2,0,42,8,2,1,0,5,0,18,0,0,8,,,,,,,,,,
Sir Robert Borden High School - Adv 1,0,318,56,60,3,5,10,17,89,7,5,66,,,,,,,,,,
Calvin Christian Reformed Church - Adv 1,0,256,92,9,2,3,7,13,63,1,2,64,,,,,,,,,,
Confederation Education Centre - Adv 2,0,626,57,174,4,2,17,34,126,6,24,182,,,,,,,,,,
Polling,27844,10893,1702,3711,112,106,234,421,2057,199,548,1803,,,,,,,,,,
Adv Vote,55688,1200,205,243,9,10,34,64,278,14,31,312,,,,,,,,,,
Total,27844,12093,1907,3954,121,116,268,485,2335,213,579,2115,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 3,Reg. Voters,Total Votes,Donna Blackburn,Allan Halfper,Ismail Mohamed,,,,,,,,,,,,,,,,,
Greenbank Middle School,3122,1188,659,443,86,,,,,,,,,,,,,,,,,
Sir Robert Borden High School,2215,728,316,366,46,,,,,,,,,,,,,,,,,
Pope John XXIII Catholic School,840,335,173,146,16,,,,,,,,,,,,,,,,,
Manordale Public School,1545,447,235,173,39,,,,,,,,,,,,,,,,,
Confederation Education Centre,2369,634,349,233,52,,,,,,,,,,,,,,,,,
