Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Christ Church Cathedral,1389,439,4,3,91,0,0,10,0,0,0,0,0,13,80,0,3,0,0,3,231,1
Plant Recreation Centre,3047,927,5,2,331,2,2,34,0,3,1,0,0,12,87,2,1,1,6,6,430,2
Saint Vincent Hospital,68,107,1,3,11,0,5,9,1,1,0,0,0,1,31,1,1,0,0,0,42,0
Dalhousie Community Centre,1877,513,5,0,153,3,4,15,1,0,0,0,1,4,50,1,0,0,3,5,267,1
Centennial Public School,2717,821,2,4,200,1,5,30,1,1,0,0,0,7,122,1,0,0,3,4,440,0
McNabb Community Centre,3292,1076,7,0,374,2,0,29,0,0,0,0,0,9,103,0,1,2,4,10,534,1
Centertown United Church,2458,802,4,0,243,1,1,18,0,1,0,0,1,10,102,0,3,0,5,7,405,1
Jack Purcell Community Centre,3040,1060,3,7,313,0,2,23,0,2,0,0,0,13,104,0,0,0,8,16,565,4
Knox Presbyterian Church,2692,1051,3,2,262,2,2,28,0,1,1,0,0,15,144,1,0,0,4,9,577,0
Saint Patrick's Basilica,2516,915,2,3,186,0,5,31,0,1,3,1,0,16,131,0,1,0,8,4,522,1
McLeod Retirement Residence,61,38,0,0,3,0,2,3,1,0,1,0,0,1,5,0,0,1,0,0,20,1
Park Square Apartments - Adv 2,0,95,0,1,8,0,0,4,0,1,0,0,0,0,27,1,0,0,0,0,53,0
Rochester Towers - Adv 2,0,100,1,0,3,0,2,6,3,1,0,0,2,1,33,2,2,3,0,1,38,2
Gladstone Terrace - Adv 2,0,56,1,0,1,2,1,4,1,1,2,0,1,0,21,0,0,1,1,0,19,0
Desjardins Co-op Apartments - Adv 2,0,52,0,0,3,0,0,1,0,1,1,0,0,0,11,0,0,1,3,0,31,0
Stonecliffe Apartments - Adv 2,0,40,0,0,6,0,0,1,0,0,0,0,0,1,4,1,0,0,0,1,26,0
C. C. C. #289 - Adv 2,0,50,0,1,6,0,0,1,1,0,0,0,0,1,8,0,1,0,1,0,30,0
Queen Elizabeth Towers - Adv 2,0,156,1,0,22,0,1,6,1,0,0,0,0,1,44,0,1,1,0,0,78,0
Bronson Avenue Apartments - Adv 2,0,39,1,1,4,0,0,2,0,0,0,0,1,2,8,0,0,0,0,0,20,0
Blair House - Adv 2,0,13,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,7,1
Brooke Tower - Adv 2,0,46,0,0,8,0,1,1,0,1,0,0,0,0,7,0,0,0,1,0,27,0
C. C. C. #92 - Adv 2,0,51,0,0,9,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,29,0
Somerset Manor - Adv 2,0,66,3,0,6,0,1,1,1,0,1,0,1,1,30,2,0,0,0,0,18,1
MacLaren Apartments - Adv 2,0,62,1,2,4,0,3,2,1,1,0,0,0,0,17,0,0,0,3,1,26,1
Ten Driveway Apartments - Adv 2,0,106,0,0,14,0,0,4,0,0,0,0,0,4,29,0,1,0,1,0,53,0
Ann Manor - Adv 2,0,73,0,0,13,0,1,1,0,0,0,0,0,1,14,0,0,0,0,0,43,0
