Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Jack Donohue Public School,1918,695,2,7,70,3,1,44,0,0,0,0,0,8,176,1,1,0,5,1,374,2
St. John's Anglican Church,3626,1217,4,10,174,2,2,78,2,3,0,0,0,29,343,2,2,0,3,8,554,1
Ecole elementaire publique Kanata ,2074,754,6,0,106,2,0,52,4,2,3,0,0,17,194,2,0,0,5,3,358,0
Chartwell Kanata Retirement Residence ,69,45,0,0,0,0,0,3,1,0,0,0,0,0,8,0,0,0,0,0,33,0
All Saints Catholic High School,3776,1502,2,1,176,1,2,108,3,1,0,0,1,30,428,3,1,0,7,10,723,5
Walden Village Retirement Residence ,69,41,0,0,4,0,0,1,1,0,0,0,0,0,9,0,0,1,0,0,25,0
W. Erskine Johnston Public School ,3084,1359,1,4,236,2,1,97,0,0,0,0,2,26,353,0,2,0,6,3,623,3
Stephen Leacock Public School,3469,1307,1,0,207,0,3,85,0,0,0,1,0,36,352,0,0,0,3,8,611,0
Forest Hill Residence,145,29,2,1,0,1,0,3,1,1,0,0,0,2,8,0,0,0,0,0,10,0
Earl of March Secondary School,2721,968,1,0,145,1,1,54,0,1,0,0,0,18,236,0,0,0,2,6,502,1
Park Ridge Place - Adv 2,0,264,0,0,21,0,1,22,0,0,0,0,0,11,95,0,1,0,1,0,112,0
Royalton Retirement Residence - Adv 2,0,47,0,0,5,0,0,2,0,0,0,0,0,2,23,0,0,0,0,0,15,0
Atriums Apartments - Adv 2,0,144,0,0,9,1,0,18,0,0,0,0,0,6,49,1,0,0,0,1,59,0
Earl of March Secondary School - Adv 1,0,545,2,0,37,0,3,85,0,1,0,1,0,11,156,0,0,1,1,2,244,1
St. John's Anglican Church - Adv 2,0,564,2,0,32,1,0,52,0,0,0,0,0,13,182,1,1,1,2,2,273,2
Total Polling,20951,8372,19,23,1153,13,11,567,12,8,3,1,3,185,2274,9,7,1,32,40,3999,12
 Adv Vote,41902,1109,4,0,69,1,3,137,0,1,0,1,0,24,338,1,1,2,3,4,517,3
Total,20951,9481,23,23,1222,14,14,704,12,9,3,2,3,209,2612,10,8,3,35,44,4516,15
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 4,Reg. Voters,Total Votes,Herntz Golmann,Jeff Seeton,Hal Watson,Lili Weemen,Marianne Wilkinson,,,,,,,,,,,,,,,
Jack Donohue Public School,1918,698,13,348,9,14,314,,,,,,,,,,,,,,,
St. John's Anglican Church,3626,1219,13,570,21,29,586,,,,,,,,,,,,,,,
Ecole elementaire publique Kanata ,2074,754,23,354,10,12,355,,,,,,,,,,,,,,,
Chartwell Kanata Retirement Residence ,69,41,1,9,0,1,30,,,,,,,,,,,,,,,
All Saints Catholic High School,3776,1500,9,737,10,34,710,,,,,,,,,,,,,,,
Walden Village Retirement Residence ,69,39,0,15,0,0,24,,,,,,,,,,,,,,,
W. Erskine Johnston Public School ,3084,1357,17,541,13,20,766,,,,,,,,,,,,,,,
Stephen Leacock Public School,3469,1306,14,620,23,18,631,,,,,,,,,,,,,,,
Forest Hill Residence,145,23,0,2,8,0,13,,,,,,,,,,,,,,,
Earl of March Secondary School,2721,961,14,416,31,7,493,,,,,,,,,,,,,,,
Park Ridge Place - Adv 2,0,261,3,109,3,8,138,,,,,,,,,,,,,,,
Royalton Retirement Residence - Adv 2,0,45,0,16,2,0,27,,,,,,,,,,,,,,,
Atriums Apartments - Adv 2,0,145,1,57,4,7,76,,,,,,,,,,,,,,,
Earl of March Secondary School - Adv 1,0,542,2,235,8,12,285,,,,,,,,,,,,,,,
St. John's Anglican Church - Adv 2,0,559,9,245,4,7,294,,,,,,,,,,,,,,,
Total Polling,20951,8349,108,3794,134,150,4163,,,,,,,,,,,,,,,
 Adv Vote,41902,1101,11,480,12,19,579,,,,,,,,,,,,,,,
Total,20951,9450,119,4274,146,169,4742,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 2,Reg. Voters,Total Votes,Christine Boothby,Cathy Curry,,,,,,,,,,,,,,,,,,
Jack Donohue Public School,1545,480,222,258,,,,,,,,,,,,,,,,,,
St. John's Anglican Church,2897,787,340,447,,,,,,,,,,,,,,,,,,
Ecole elementaire publique Kanata ,1616,508,219,289,,,,,,,,,,,,,,,,,,
Chartwell Kanata Retirement Residence ,69,27,4,23,,,,,,,,,,,,,,,,,,
All Saints Catholic High School,3008,934,393,541,,,,,,,,,,,,,,,,,,
Walden Village Retirement Residence ,69,19,7,12,,,,,,,,,,,,,,,,,,
W. Erskine Johnston Public School ,2442,941,361,580,,,,,,,,,,,,,,,,,,
Stephen Leacock Public School,2711,847,290,557,,,,,,,,,,,,,,,,,,
Forest Hill Residence,145,19,8,11,,,,,,,,,,,,,,,,,,
Earl of March Secondary School,2194,652,251,401,,,,,,,,,,,,,,,,,,
Park Ridge Place - Adv 2,0,185,129,56,,,,,,,,,,,,,,,,,,
Royalton Retirement Residence - Adv 2,0,28,15,13,,,,,,,,,,,,,,,,,,
Atriums Apartments - Adv 2,0,113,72,41,,,,,,,,,,,,,,,,,,
Earl of March Secondary School - Adv 1,0,374,113,261,,,,,,,,,,,,,,,,,,
St. John's Anglican Church - Adv 2,0,377,147,230,,,,,,,,,,,,,,,,,,
Total Polling,16696,5540,2311,3229,,,,,,,,,,,,,,,,,,
 Adv Vote,33392,751,260,491,,,,,,,,,,,,,,,,,,
Total,16696,6291,2571,3720,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCSB Zone 2,Reg. Voters,Total Votes,Hudson Egbert,Ted Hurley,,,,,,,,,,,,,,,,,,
Jack Donohue Public School,237,103,29,74,,,,,,,,,,,,,,,,,,
St. John's Anglican Church,499,196,34,162,,,,,,,,,,,,,,,,,,
Ecole elementaire publique Kanata ,326,118,31,87,,,,,,,,,,,,,,,,,,
Chartwell Kanata Retirement Residence ,0,3,2,1,,,,,,,,,,,,,,,,,,
All Saints Catholic High School,591,309,81,228,,,,,,,,,,,,,,,,,,
Walden Village Retirement Residence ,0,5,1,4,,,,,,,,,,,,,,,,,,
W. Erskine Johnston Public School ,531,202,36,166,,,,,,,,,,,,,,,,,,
Stephen Leacock Public School,645,227,52,175,,,,,,,,,,,,,,,,,,
Forest Hill Residence,0,0,0,0,,,,,,,,,,,,,,,,,,
Earl of March Secondary School,421,148,24,124,,,,,,,,,,,,,,,,,,
Park Ridge Place - Adv 2,0,35,11,24,,,,,,,,,,,,,,,,,,
Royalton Retirement Residence - Adv 2,0,11,0,11,,,,,,,,,,,,,,,,,,
Atriums Apartments - Adv 2,0,9,0,9,,,,,,,,,,,,,,,,,,
Earl of March Secondary School - Adv 1,0,81,19,62,,,,,,,,,,,,,,,,,,
St. John's Anglican Church - Adv 2,0,66,18,48,,,,,,,,,,,,,,,,,,
Total Polling,3250,1366,301,1065,,,,,,,,,,,,,,,,,,
 Adv Vote,6500,147,37,110,,,,,,,,,,,,,,,,,,
Total,3250,1513,338,1175,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CEPEO Secteur 12,Reg. Voters,Total Votes,Bernard Bareilhe,Abdourahman Kahin,Linda Savard,,,,,,,,,,,,,,,,,
Jack Donohue Public School,101,35,8,5,22,,,,,,,,,,,,,,,,,
St. John's Anglican Church,123,49,10,2,37,,,,,,,,,,,,,,,,,
Ecole elementaire publique Kanata ,95,35,14,10,11,,,,,,,,,,,,,,,,,
Chartwell Kanata Retirement Residence ,0,0,0,0,0,,,,,,,,,,,,,,,,,
All Saints Catholic High School,77,31,13,4,14,,,,,,,,,,,,,,,,,
Walden Village Retirement Residence ,0,1,1,0,0,,,,,,,,,,,,,,,,,
W. Erskine Johnston Public School ,47,23,8,3,12,,,,,,,,,,,,,,,,,
Stephen Leacock Public School,44,11,1,2,8,,,,,,,,,,,,,,,,,
Forest Hill Residence,0,0,0,0,0,,,,,,,,,,,,,,,,,
Earl of March Secondary School,37,11,1,2,8,,,,,,,,,,,,,,,,,
Park Ridge Place - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Royalton Retirement Residence - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Atriums Apartments - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Earl of March Secondary School - Adv 1,0,16,3,1,12,,,,,,,,,,,,,,,,,
St. John's Anglican Church - Adv 2,0,12,3,1,8,,,,,,,,,,,,,,,,,
Total Polling,524,196,56,28,112,,,,,,,,,,,,,,,,,
 Adv Vote,1048,28,6,2,20,,,,,,,,,,,,,,,,,
