Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Ecole elementaire catholique La Verendrye,3177,1492,517,28,947,,,,,,,,,,,,,,,,,
Cyrville Community Centre,2545,532,310,26,196,,,,,,,,,,,,,,,,,
Carson Grove Elementary School,2606,1098,600,38,460,,,,,,,,,,,,,,,,,
Ogilvie Villa,57,34,29,2,3,,,,,,,,,,,,,,,,,
Camilla Gardens Retirement Residence,56,27,21,1,5,,,,,,,,,,,,,,,,,
Earl Armstrong Arena,2916,1173,611,46,516,,,,,,,,,,,,,,,,,
Lester B. Pearson Catholic High School,2316,686,411,25,250,,,,,,,,,,,,,,,,,
Elmsmere Residence,44,21,14,2,5,,,,,,,,,,,,,,,,,
Calvary United Pentecostal Church,2469,768,351,22,395,,,,,,,,,,,,,,,,,
John Paul II Catholic School,2345,777,374,37,366,,,,,,,,,,,,,,,,,
Beacon Heights Retirement Residence,0,17,5,0,12,,,,,,,,,,,,,,,,,
Northridge Towers - Adv 1,0,89,53,3,33,,,,,,,,,,,,,,,,,
Cyrville Towers - Adv 1,0,65,49,3,13,,,,,,,,,,,,,,,,,
Hillsview Towers - Adv 1,0,140,104,6,30,,,,,,,,,,,,,,,,,
Cyrville Community Centre - Adv 1,0,434,271,16,147,,,,,,,,,,,,,,,,,
Beacon Hill Community Centre - Adv 2,0,729,338,16,375,,,,,,,,,,,,,,,,,
Polling,23726,9150,4298,286,4566,,,,,,,,,,,,,,,,,
Adv Vote,47452,1163,609,32,522,,,,,,,,,,,,,,,,,
Total,23726,10313,4907,318,5088,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 12,Reg. Voters,Total Votes,Chris Ellis,Katie Holtzhauer,,,,,,,,,,,,,,,,,,
Robert Hopkins Public School,1613,678,199,479,,,,,,,,,,,,,,,,,,
Colonel By Secondary School,1544,527,212,315,,,,,,,,,,,,,,,,,,
Extendicare Laurier Manor,218,36,18,18,,,,,,,,,,,,,,,,,,
Rothwell Heights Terrace,126,45,23,22,,,,,,,,,,,,,,,,,,
Ecole elementaire catholique La Verendrye,1849,791,298,493,,,,,,,,,,,,,,,,,,
Cyrville Community Centre,1521,279,148,131,,,,,,,,,,,,,,,,,,
Carson Grove Elementary School,1406,467,282,185,,,,,,,,,,,,,,,,,,
Ogilvie Villa,57,11,7,4,,,,,,,,,,,,,,,,,,
Camilla Gardens Retirement Residence,10,3,2,1,,,,,,,,,,,,,,,,,,
Earl Armstrong Arena,1611,596,287,309,,,,,,,,,,,,,,,,,,
Lester B. Pearson Catholic High School,1343,332,191,141,,,,,,,,,,,,,,,,,,
Elmsmere Residence,44,8,3,5,,,,,,,,,,,,,,,,,,
Calvary United Pentecostal Church,1161,312,193,119,,,,,,,,,,,,,,,,,,
John Paul II Catholic School,1192,330,177,153,,,,,,,,,,,,,,,,,,
Beacon Heights Retirement Residence,0,9,5,4,,,,,,,,,,,,,,,,,,
Northridge Towers - Adv 1,0,39,20,19,,,,,,,,,,,,,,,,,,
Cyrville Towers - Adv 1,0,32,18,14,,,,,,,,,,,,,,,,,,
Hillsview Towers - Adv 1,0,53,34,19,,,,,,,,,,,,,,,,,,
Cyrville Community Centre - Adv 1,0,209,119,90,,,,,,,,,,,,,,,,,,
Beacon Hill Community Centre - Adv 2,0,344,113,231,,,,,,,,,,,,,,,,,,
Polling,13695,4548,2117,2431,,,,,,,,,,,,,,,,,,
Adv Vote,27390,553,232,321,,,,,,,,,,,,,,,,,,
Total,13695,5101,2349,2752,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CEPEO Secteur 8,Reg. Voters,Total Votes,Marie-Anne Dubois,Danick LaFrance,Chantal Lecours,Marc Roy,,,,,,,,,,,,,,,,
Robert Hopkins Public School,110,59,10,7,27,15,,,,,,,,,,,,,,,,
Colonel By Secondary School,191,66,10,9,29,18,,,,,,,,,,,,,,,,
Extendicare Laurier Manor,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Rothwell Heights Terrace,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Ecole elementaire catholique La Verendrye,249,117,20,21,49,27,,,,,,,,,,,,,,,,
Cyrville Community Centre,186,52,14,6,22,10,,,,,,,,,,,,,,,,
Carson Grove Elementary School,239,109,22,11,52,24,,,,,,,,,,,,,,,,
Ogilvie Villa,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Camilla Gardens Retirement Residence,1,0,0,0,0,0,,,,,,,,,,,,,,,,
Earl Armstrong Arena,284,101,11,11,58,21,,,,,,,,,,,,,,,,
Lester B. Pearson Catholic High School,148,46,13,5,21,7,,,,,,,,,,,,,,,,
Elmsmere Residence,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Calvary United Pentecostal Church,186,55,11,7,18,19,,,,,,,,,,,,,,,,
John Paul II Catholic School,164,48,6,8,20,14,,,,,,,,,,,,,,,,
Beacon Heights Retirement Residence,0,1,0,0,1,0,,,,,,,,,,,,,,,,
Northridge Towers - Adv 1,0,2,1,0,1,0,,,,,,,,,,,,,,,,
Cyrville Towers - Adv 1,0,2,1,0,0,1,,,,,,,,,,,,,,,,
Hillsview Towers - Adv 1,0,7,2,2,2,1,,,,,,,,,,,,,,,,
Cyrville Community Centre - Adv 1,0,18,6,2,8,2,,,,,,,,,,,,,,,,
Beacon Hill Community Centre - Adv 2,0,50,11,10,14,15,,,,,,,,,,,,,,,,
Polling,1758,665,121,87,300,157,,,,,,,,,,,,,,,,
Adv Vote,3516,68,17,12,22,17,,,,,,,,,,,,,,,,
Total,1758,733,138,99,322,174,,,,,,,,,,,,,,,,
