Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Robert Hopkins Public School,2377,1180,5,0,184,0,4,52,0,2,1,0,0,17,310,3,2,1,2,2,595,0
Colonel By Secondary School,2474,959,7,2,150,0,7,52,0,0,0,0,0,24,197,1,0,0,2,2,515,0
Extendicare Laurier Manor,218,41,1,0,4,0,4,4,1,0,0,1,1,2,7,0,1,0,2,0,12,1
Rothwell Heights Terrace,126,50,1,0,1,0,0,3,0,1,0,0,0,0,13,1,1,1,2,1,25,0
Ecole elementaire catholique La Verendrye,3177,1487,2,1,226,2,6,63,0,1,0,0,0,48,341,1,1,1,7,6,780,1
Cyrville Community Centre,2545,550,7,12,41,1,7,24,1,2,0,0,0,10,99,0,2,2,5,1,335,1
Carson Grove Elementary School,2606,1107,4,2,160,0,14,56,1,1,0,0,0,23,221,6,1,3,4,5,606,0
Ogilvie Villa,57,38,0,0,2,0,5,3,0,0,0,1,0,0,14,0,0,0,0,1,12,0
Camilla Gardens Retirement Residence,56,31,0,0,4,0,7,2,0,0,0,0,1,0,9,0,0,1,1,0,6,0
Earl Armstrong Arena,2916,1182,3,0,180,1,15,62,1,1,0,0,0,37,266,2,3,1,10,5,595,0
Lester B. Pearson Catholic High School,2316,689,9,2,74,1,13,35,0,0,0,0,1,8,159,1,0,1,5,6,374,0
Elmsmere Residence,44,21,0,0,0,1,1,3,0,0,0,0,0,0,5,0,0,0,2,0,9,0
Calvary United Pentecostal Church,2469,773,13,1,82,0,13,30,1,1,0,0,2,22,162,3,0,1,8,3,430,1
John Paul II Catholic School,2345,788,7,4,103,0,10,46,0,0,0,4,1,18,177,0,0,0,3,1,412,2
Beacon Heights Retirement Residence,0,17,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,9,0
Northridge Towers - Adv 1,0,89,1,0,6,0,3,23,0,0,0,0,0,4,12,0,0,1,0,0,39,0
Cyrville Towers - Adv 1,0,62,0,0,4,0,2,5,1,0,0,0,0,0,14,0,0,0,0,0,36,0
Hillsview Towers - Adv 1,0,140,0,0,4,0,9,27,0,0,0,0,0,3,14,0,0,2,0,3,78,0
Cyrville Community Centre - Adv 1,0,437,6,0,25,1,7,52,0,0,0,0,1,3,100,1,0,0,1,1,239,0
Beacon Hill Community Centre - Adv 2,0,728,4,0,47,0,16,47,1,1,0,0,2,20,204,1,0,0,5,2,377,1
Polling,23726,9204,60,24,1225,6,120,493,6,9,1,6,6,216,2025,18,11,15,53,36,4868,6
Adv Vote,47452,1165,10,0,72,1,23,99,1,1,0,0,3,23,304,2,0,0,6,3,616,1
Total,23726,10369,70,24,1297,7,143,592,7,10,1,6,9,239,2329,20,11,15,59,39,5484,7
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 11,Reg. Voters,Total Votes,Michel Bellemare,O’Neil Brooke,Tim Tierney,,,,,,,,,,,,,,,,,
Robert Hopkins Public School,2377,1187,440,16,731,,,,,,,,,,,,,,,,,
Colonel By Secondary School,2474,957,356,16,585,,,,,,,,,,,,,,,,,
Extendicare Laurier Manor,218,39,27,4,8,,,,,,,,,,,,,,,,,
Rothwell Heights Terrace,126,48,26,11,11,,,,,,,,,,,,,,,,,
