Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Ecole secondaire catholique Pierre-Savard,2500,897,1,5,103,0,0,65,2,0,0,0,0,33,258,0,3,0,1,2,424,0
The Court at Barrhaven Residence,123,66,0,0,11,0,1,6,1,0,0,1,0,1,16,0,0,1,0,2,25,1
St. Emily Catholic School,2148,724,5,7,86,2,2,35,2,2,2,2,0,8,173,1,1,1,1,2,390,2
Carleton Lodge,148,41,0,0,3,0,0,5,0,0,1,0,0,0,22,0,0,0,0,0,10,0
Farley Mowat Public School,3143,867,5,2,113,0,3,63,1,0,1,0,2,18,203,0,2,0,3,3,447,1
Prince of Wales Manor,88,36,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,1,2,21,0
Adrienne Clarkson Elementary School,3321,1237,4,7,126,2,1,115,1,0,0,1,0,50,285,4,1,0,5,3,629,3
St. Andrew Catholic School,3154,1170,4,5,108,3,1,99,0,1,1,0,0,25,297,3,0,2,5,3,609,4
St. Jerome Catholic School,2937,1161,3,1,133,1,4,71,0,0,0,0,2,31,338,1,0,0,4,6,566,0
St. Francis Xavier High School,3017,1150,5,2,137,1,1,69,1,0,0,0,1,26,231,2,2,0,5,6,661,0
Fred G. Barrett Arena,2036,731,3,4,92,0,4,39,0,1,0,0,0,17,203,0,3,0,4,1,360,0
Southpointe Community Centre - Adv 1,0,269,4,0,4,0,1,50,1,0,0,0,0,3,71,0,0,0,2,3,130,0
Rideauview Community Centre - Adv 1,0,191,0,0,12,0,0,20,0,0,0,1,2,6,56,0,0,0,0,0,94,0
Fred G. Barrett Arena - Adv 1,0,25,1,0,1,0,0,6,0,0,0,0,0,1,4,0,0,0,0,0,12,0
Southpointe Community Centre - Adv 2,0,383,1,1,22,0,2,44,1,1,0,0,1,5,93,1,1,0,1,1,208,0
Rideauview Community Centre - Adv 2,0,275,0,0,15,0,1,21,0,0,0,0,0,17,88,0,0,0,1,1,131,0
Fred G. Barrett Arena - Adv 2,0,98,0,1,7,0,2,10,0,1,0,0,0,6,28,0,0,0,0,1,42,0
Polling,22615,8080,30,33,915,9,17,570,8,4,5,4,5,209,2032,11,12,4,29,30,4142,11
Adv Vote,45230,1241,6,2,61,0,6,151,2,2,0,1,3,38,340,1,1,0,4,6,617,0
Total,22615,9321,36,35,976,9,23,721,10,6,5,5,8,247,2372,12,13,4,33,36,4759,11
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 22,Reg. Voters,Total Votes,Steve Desroches,Stephen Knight,,,,,,,,,,,,,,,,,,
Ecole secondaire catholique Pierre-Savard,2500,879,793,86,,,,,,,,,,,,,,,,,,
The Court at Barrhaven Residence,123,63,45,18,,,,,,,,,,,,,,,,,,
St. Emily Catholic School,2148,702,553,149,,,,,,,,,,,,,,,,,,
Carleton Lodge,148,38,27,11,,,,,,,,,,,,,,,,,,
Farley Mowat Public School,3143,853,699,154,,,,,,,,,,,,,,,,,,
Prince of Wales Manor,88,36,30,6,,,,,,,,,,,,,,,,,,
Adrienne Clarkson Elementary School,3321,1205,1006,199,,,,,,,,,,,,,,,,,,
St. Andrew Catholic School,3154,1148,941,207,,,,,,,,,,,,,,,,,,
St. Jerome Catholic School,2937,1149,1027,122,,,,,,,,,,,,,,,,,,
St. Francis Xavier High School,3017,1144,1012,132,,,,,,,,,,,,,,,,,,
Fred G. Barrett Arena,2036,713,565,148,,,,,,,,,,,,,,,,,,
Southpointe Community Centre - Adv 1,0,259,213,46,,,,,,,,,,,,,,,,,,
Rideauview Community Centre - Adv 1,0,195,176,19,,,,,,,,,,,,,,,,,,
Fred G. Barrett Arena - Adv 1,0,25,22,3,,,,,,,,,,,,,,,,,,
Southpointe Community Centre - Adv 2,0,371,305,66,,,,,,,,,,,,,,,,,,
Rideauview Community Centre - Adv 2,0,274,238,36,,,,,,,,,,,,,,,,,,
Fred G. Barrett Arena - Adv 2,0,96,71,25,,,,,,,,,,,,,,,,,,
Polling,22615,7930,6698,1232,,,,,,,,,,,,,,,,,,
Adv Vote,45230,1220,1025,195,,,,,,,,,,,,,,,,,,
Total,22615,9150,7723,1427,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 7,Reg. Voters,Total Votes,Dave Byron,Mark Fisher,Pam Morse,,,,,,,,,,,,,,,,,
Ecole secondaire catholique Pierre-Savard,1779,518,35,232,251,,,,,,,,,,,,,,,,,
The Court at Barrhaven Residence,122,55,7,14,34,,,,,,,,,,,,,,,,,
St. Emily Catholic School,1735,478,72,221,185,,,,,,,,,,,,,,,,,
Carleton Lodge,148,32,4,9,19,,,,,,,,,,,,,,,,,
Farley Mowat Public School,2360,545,67,260,218,,,,,,,,,,,,,,,,,
Prince of Wales Manor,86,25,5,10,10,,,,,,,,,,,,,,,,,
Adrienne Clarkson Elementary School,2161,659,62,289,308,,,,,,,,,,,,,,,,,
St. Andrew Catholic School,2064,616,66,270,280,,,,,,,,,,,,,,,,,
St. Jerome Catholic School,2043,644,27,305,312,,,,,,,,,,,,,,,,,
St. Francis Xavier High School,2240,666,45,331,290,,,,,,,,,,,,,,,,,
Fred G. Barrett Arena,1410,401,25,207,169,,,,,,,,,,,,,,,,,
Southpointe Community Centre - Adv 1,0,148,21,46,81,,,,,,,,,,,,,,,,,
Rideauview Community Centre - Adv 1,0,117,9,61,47,,,,,,,,,,,,,,,,,
Fred G. Barrett Arena - Adv 1,0,14,1,2,11,,,,,,,,,,,,,,,,,
Southpointe Community Centre - Adv 2,0,184,22,71,91,,,,,,,,,,,,,,,,,
Rideauview Community Centre - Adv 2,0,150,20,39,91,,,,,,,,,,,,,,,,,
Fred G. Barrett Arena - Adv 2,0,47,7,27,13,,,,,,,,,,,,,,,,,
Polling,16148,4639,415,2148,2076,,,,,,,,,,,,,,,,,
Adv Vote,32296,660,80,246,334,,,,,,,,,,,,,,,,,
Total,16148,5299,495,2394,2410,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCSB Zone 4,Reg. Voters,Total Votes,Alison Baizana,Cathy Maguire-Urban,,,,,,,,,,,,,,,,,,
Ecole secondaire catholique Pierre-Savard,594,237,122,115,,,,,,,,,,,,,,,,,,
The Court at Barrhaven Residence,1,2,0,2,,,,,,,,,,,,,,,,,,
St. Emily Catholic School,300,127,77,50,,,,,,,,,,,,,,,,,,
Carleton Lodge,0,6,1,5,,,,,,,,,,,,,,,,,,
Farley Mowat Public School,560,162,96,66,,,,,,,,,,,,,,,,,,
Prince of Wales Manor,2,0,0,0,,,,,,,,,,,,,,,,,,
Adrienne Clarkson Elementary School,919,379,221,158,,,,,,,,,,,,,,,,,,
St. Andrew Catholic School,854,360,233,127,,,,,,,,,,,,,,,,,,
St. Jerome Catholic School,633,284,132,152,,,,,,,,,,,,,,,,,,
St. Francis Xavier High School,547,278,169,109,,,,,,,,,,,,,,,,,,
Fred G. Barrett Arena,390,165,63,102,,,,,,,,,,,,,,,,,,
Southpointe Community Centre - Adv 1,0,68,44,24,,,,,,,,,,,,,,,,,,
Rideauview Community Centre - Adv 1,0,40,27,13,,,,,,,,,,,,,,,,,,
Fred G. Barrett Arena - Adv 1,0,5,5,0,,,,,,,,,,,,,,,,,,
Southpointe Community Centre - Adv 2,0,111,58,53,,,,,,,,,,,,,,,,,,
Rideauview Community Centre - Adv 2,0,69,39,30,,,,,,,,,,,,,,,,,,
Fred G. Barrett Arena - Adv 2,0,23,12,11,,,,,,,,,,,,,,,,,,
Polling,4800,2000,1114,886,,,,,,,,,,,,,,,,,,
Adv Vote,9600,316,185,131,,,,,,,,,,,,,,,,,,
Total,4800,2316,1299,1017,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CEPEO Secteur 12,Reg. Voters,Total Votes,Bernard Bareilhe,Abdourahman Kahin,Linda Savard,,,,,,,,,,,,,,,,,
Ecole secondaire catholique Pierre-Savard,39,15,1,0,14,,,,,,,,,,,,,,,,,
The Court at Barrhaven Residence,0,0,0,0,0,,,,,,,,,,,,,,,,,
St. Emily Catholic School,51,18,2,4,12,,,,,,,,,,,,,,,,,
Carleton Lodge,0,0,0,0,0,,,,,,,,,,,,,,,,,
Farley Mowat Public School,86,35,1,18,16,,,,,,,,,,,,,,,,,
Prince of Wales Manor,0,0,0,0,0,,,,,,,,,,,,,,,,,
Adrienne Clarkson Elementary School,84,27,4,1,22,,,,,,,,,,,,,,,,,
St. Andrew Catholic School,99,44,8,10,26,,,,,,,,,,,,,,,,,
St. Jerome Catholic School,67,20,2,3,15,,,,,,,,,,,,,,,,,
St. Francis Xavier High School,53,18,4,2,12,,,,,,,,,,,,,,,,,
