Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Fred G. Barrett Arena,69,26,0,0,26,,,,,,,,,,,,,,,,,
Southpointe Community Centre - Adv 1,0,7,2,1,4,,,,,,,,,,,,,,,,,
Rideauview Community Centre - Adv 1,0,12,1,0,11,,,,,,,,,,,,,,,,,
Fred G. Barrett Arena - Adv 1,0,1,1,0,0,,,,,,,,,,,,,,,,,
Southpointe Community Centre - Adv 2,0,11,0,1,10,,,,,,,,,,,,,,,,,
Rideauview Community Centre - Adv 2,0,3,0,0,3,,,,,,,,,,,,,,,,,
Fred G. Barrett Arena - Adv 2,0,4,2,0,2,,,,,,,,,,,,,,,,,
Polling,548,203,22,38,143,,,,,,,,,,,,,,,,,
Adv Vote,1096,38,6,2,30,,,,,,,,,,,,,,,,,
Total,548,241,28,40,173,,,,,,,,,,,,,,,,,
