Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Routhier Community Centre,3691,1344,6,1,374,0,6,30,0,0,0,0,1,16,205,1,0,0,8,7,680,9
Elisabeth Bruyere Continuing Care,366,68,0,0,2,0,4,1,0,1,0,0,0,0,3,0,0,0,0,0,57,0
Patro d'Ottawa,3814,1089,6,1,213,0,12,29,1,1,1,0,2,16,155,1,1,1,4,6,639,0
Garry J. Armstrong Home,175,34,0,0,6,1,4,1,0,1,0,0,0,0,4,0,0,0,0,0,17,0
The Rockcliffe Retirement Residence,105,78,0,0,11,0,1,6,0,0,0,0,0,0,10,0,0,0,0,0,50,0
Montfort Renaissance,28,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0
Rideau Gardens Retirement Home,106,64,0,0,4,0,2,2,0,0,1,0,0,0,10,0,0,1,0,0,44,0
Eglise Sacre Coeur,1999,613,0,0,174,0,2,14,0,0,0,0,0,7,90,0,1,0,5,6,314,0
Sandy Hill Retirement Residence,38,22,1,0,2,0,2,3,0,1,0,0,0,1,2,0,0,0,1,0,9,0
Ecole elementaire publique Francojeunesse,2069,739,3,0,200,1,2,21,1,1,0,1,1,8,86,0,0,1,3,4,404,2
Rideau Place on the River,87,54,1,0,9,0,1,1,0,0,0,0,0,0,14,0,0,0,1,0,27,0
Sandy Hill Community Centre,2184,791,3,2,231,0,7,18,0,0,0,0,0,10,85,0,2,1,7,4,420,1
Viscount Alexander Public School,1255,382,1,13,81,0,3,6,0,1,1,0,2,6,42,0,0,1,0,4,221,0
Our Lady of Assumption Parish,2839,752,7,2,161,1,14,19,0,0,0,1,0,9,106,0,0,1,5,7,418,1
Edgewood Care Centre,129,60,0,0,6,0,4,1,1,0,0,0,0,0,10,1,0,1,1,0,35,0
Knights of Columbus Hall,3246,740,8,1,109,3,16,44,3,1,3,0,3,10,111,2,1,2,5,1,416,1
Fatima Manor,44,30,1,0,6,0,4,3,0,0,0,0,1,0,0,3,1,0,0,2,9,0
Eglise Notre-Dame-de-Lourdes,2507,712,4,0,133,1,25,39,2,0,0,0,0,13,115,0,1,0,3,7,369,0
Champlain Long Term Care Centre,158,55,0,0,6,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,36,0
Richelieu-Vanier Centre,2503,638,1,0,176,3,13,25,0,0,0,0,2,11,84,1,0,0,5,1,316,0
The St. George Apartments - Adv 1,0,67,0,0,9,0,1,1,0,0,0,0,0,0,23,0,0,0,0,0,33,0
Sussex Place - Adv 1,0,53,0,0,4,1,1,3,0,0,0,0,0,2,10,0,1,0,0,0,30,1
A. Belanger Manor - Adv 1,0,18,1,0,2,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,9,0
City Living (110 Cobourg) - Adv 1,0,32,0,1,3,1,1,3,1,0,0,0,0,0,8,0,0,0,1,0,13,0
O. C. H. (160 Charlotte) - Adv 1,0,95,3,0,9,0,17,6,1,1,0,0,0,2,21,0,1,1,0,0,32,1
O. C. H. (380 Murray) - Adv 1,0,45,0,0,4,1,7,4,0,0,0,1,1,1,7,0,1,0,1,1,16,0
Seigniory Apartments - Adv 1,0,81,3,0,9,0,3,6,0,1,1,0,0,0,11,0,0,0,0,0,46,1
Watergate Apartments - Adv 1,0,128,0,0,10,0,3,13,0,0,1,0,0,0,20,0,0,0,1,2,78,0
O. C. H. (215 Wurtemburg) - Adv 1,0,31,0,1,1,0,4,3,0,0,0,0,1,0,3,0,0,0,0,0,18,0
Rio Vista Apartments - Adv 1,0,64,1,0,4,0,2,4,0,0,0,0,0,1,11,0,0,0,1,0,40,0
Silver Heights Apartments - Adv 1,0,57,3,1,2,0,2,0,0,1,0,0,0,2,11,0,0,0,0,0,33,2
Renaissance Apartments - Adv 1,0,102,0,0,11,0,1,14,0,1,0,0,0,3,11,0,0,0,1,0,60,0
Chateau Vanier Complex - Adv 1,0,278,3,0,39,0,24,21,0,0,0,1,1,0,32,0,0,3,2,0,152,0
Lafontaine Place Apartments - Adv 1,0,111,0,0,8,0,9,9,0,1,0,0,0,0,10,1,0,1,0,0,72,0
Green Valley Terrace - Adv 1,0,68,3,0,6,1,13,5,0,0,1,0,0,0,8,0,0,0,1,0,30,0
Chateau Janeville - Adv 1,0,86,0,0,6,0,9,12,0,0,0,0,0,1,12,0,0,1,1,1,43,0
Montfort Place Apartments - Adv 1,0,99,4,0,4,0,13,13,0,0,0,0,1,1,18,0,0,1,0,0,43,1
Sandy Hill Community Centre - Adv 1,0,296,1,1,22,0,3,17,0,0,0,0,1,3,51,0,1,0,0,2,194,0
Richelieu-Vanier Centre - Adv 2,0,595,2,0,91,1,17,26,1,1,2,0,0,6,94,0,0,1,1,2,349,1
Polling,27343,9694,63,23,2035,14,241,380,10,13,9,4,16,120,1358,10,10,16,57,54,5241,20
Adv Vote,54686,891,3,1,113,1,20,43,1,1,2,0,1,9,145,0,1,1,1,4,543,1
Total,27343,10585,66,24,2148,15,261,423,11,14,11,4,17,129,1503,10,11,17,58,58,5784,21
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 12,Reg. Voters,Total Votes,Georges Bédard,Mathieu Fleury,Marc Imbeault,Andrew Nellis,Sriyan Pinnawala,,,,,,,,,,,,,,,
Routhier Community Centre,3691,1291,499,655,24,68,45,,,,,,,,,,,,,,,
Elisabeth Bruyere Continuing Care,366,66,50,15,0,1,0,,,,,,,,,,,,,,,
Patro d'Ottawa,3814,1069,403,582,24,37,23,,,,,,,,,,,,,,,
Garry J. Armstrong Home,175,33,22,8,1,1,1,,,,,,,,,,,,,,,
The Rockcliffe Retirement Residence,105,64,25,35,0,4,0,,,,,,,,,,,,,,,
Montfort Renaissance,28,10,10,0,0,0,0,,,,,,,,,,,,,,,
Rideau Gardens Retirement Home,106,63,28,30,0,3,2,,,,,,,,,,,,,,,
Eglise Sacre Coeur,1999,586,213,289,22,36,26,,,,,,,,,,,,,,,
Sandy Hill Retirement Residence,38,23,16,5,0,2,0,,,,,,,,,,,,,,,
Ecole elementaire publique Francojeunesse,2069,719,273,396,9,27,14,,,,,,,,,,,,,,,
Rideau Place on the River,87,44,18,22,0,4,0,,,,,,,,,,,,,,,
Sandy Hill Community Centre,2184,779,310,406,10,32,21,,,,,,,,,,,,,,,
Viscount Alexander Public School,1255,373,177,161,13,15,7,,,,,,,,,,,,,,,
Our Lady of Assumption Parish,2839,736,271,397,10,38,20,,,,,,,,,,,,,,,
Edgewood Care Centre,129,50,34,6,0,6,4,,,,,,,,,,,,,,,
Knights of Columbus Hall,3246,720,324,312,23,30,31,,,,,,,,,,,,,,,
Fatima Manor,44,32,20,11,1,0,0,,,,,,,,,,,,,,,
Eglise Notre-Dame-de-Lourdes,2507,697,307,332,21,29,8,,,,,,,,,,,,,,,
Champlain Long Term Care Centre,158,53,44,7,0,2,0,,,,,,,,,,,,,,,
Richelieu-Vanier Centre,2503,627,252,292,8,43,32,,,,,,,,,,,,,,,
The St. George Apartments - Adv 1,0,63,33,22,2,6,0,,,,,,,,,,,,,,,
Sussex Place - Adv 1,0,54,30,22,0,0,2,,,,,,,,,,,,,,,
A. Belanger Manor - Adv 1,0,16,12,4,0,0,0,,,,,,,,,,,,,,,
City Living (110 Cobourg) - Adv 1,0,31,17,10,1,2,1,,,,,,,,,,,,,,,
O. C. H. (160 Charlotte) - Adv 1,0,99,61,29,4,3,2,,,,,,,,,,,,,,,
O. C. H. (380 Murray) - Adv 1,0,42,28,7,1,5,1,,,,,,,,,,,,,,,
Seigniory Apartments - Adv 1,0,81,50,25,0,2,4,,,,,,,,,,,,,,,
Watergate Apartments - Adv 1,0,126,55,56,4,10,1,,,,,,,,,,,,,,,
O. C. H. (215 Wurtemburg) - Adv 1,0,31,16,11,2,2,0,,,,,,,,,,,,,,,
Rio Vista Apartments - Adv 1,0,61,34,23,0,3,1,,,,,,,,,,,,,,,
Silver Heights Apartments - Adv 1,0,60,45,12,2,0,1,,,,,,,,,,,,,,,
Renaissance Apartments - Adv 1,0,100,48,46,2,2,2,,,,,,,,,,,,,,,
Chateau Vanier Complex - Adv 1,0,283,159,80,7,9,28,,,,,,,,,,,,,,,
Lafontaine Place Apartments - Adv 1,0,110,86,23,1,0,0,,,,,,,,,,,,,,,
Green Valley Terrace - Adv 1,0,64,52,8,2,1,1,,,,,,,,,,,,,,,
Chateau Janeville - Adv 1,0,86,66,15,2,1,2,,,,,,,,,,,,,,,
Montfort Place Apartments - Adv 1,0,93,71,18,2,2,0,,,,,,,,,,,,,,,
Sandy Hill Community Centre - Adv 1,0,287,169,93,2,19,4,,,,,,,,,,,,,,,
Richelieu-Vanier Centre - Adv 2,0,582,292,243,15,17,15,,,,,,,,,,,,,,,
Polling,27343,9435,4159,4372,198,426,280,,,,,,,,,,,,,,,
Adv Vote,54686,869,461,336,17,36,19,,,,,,,,,,,,,,,
Total,27343,10304,4620,4708,215,462,299,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 9,Reg. Voters,Total Votes,Rob Campbell,Helen Gruber,Julian Kirby,Lorne Rachlis,Daniel Rogers,,,,,,,,,,,,,,,
Routhier Community Centre,2630,645,227,193,77,94,54,,,,,,,,,,,,,,,
Elisabeth Bruyere Continuing Care,85,3,1,0,0,2,0,,,,,,,,,,,,,,,
Patro d'Ottawa,2363,493,235,113,42,79,24,,,,,,,,,,,,,,,
Garry J. Armstrong Home,167,27,7,10,3,1,6,,,,,,,,,,,,,,,
The Rockcliffe Retirement Residence,96,38,14,14,2,6,2,,,,,,,,,,,,,,,
Montfort Renaissance,27,8,3,1,1,0,3,,,,,,,,,,,,,,,
Rideau Gardens Retirement Home,106,29,6,9,2,3,9,,,,,,,,,,,,,,,
Eglise Sacre Coeur,1471,319,138,87,31,44,19,,,,,,,,,,,,,,,
Sandy Hill Retirement Residence,21,10,1,0,0,9,0,,,,,,,,,,,,,,,
Ecole elementaire publique Francojeunesse,1385,343,156,66,23,84,14,,,,,,,,,,,,,,,
Rideau Place on the River,87,26,12,5,4,2,3,,,,,,,,,,,,,,,
Sandy Hill Community Centre,1437,370,186,68,21,82,13,,,,,,,,,,,,,,,
Viscount Alexander Public School,844,212,97,36,13,52,14,,,,,,,,,,,,,,,
Our Lady of Assumption Parish,1377,315,142,67,28,54,24,,,,,,,,,,,,,,,
Edgewood Care Centre,129,42,19,8,6,4,5,,,,,,,,,,,,,,,
Knights of Columbus Hall,1731,292,110,70,31,41,40,,,,,,,,,,,,,,,
Fatima Manor,30,15,5,3,1,2,4,,,,,,,,,,,,,,,
Eglise Notre-Dame-de-Lourdes,931,209,88,46,15,35,25,,,,,,,,,,,,,,,
Champlain Long Term Care Centre,139,32,14,8,2,2,6,,,,,,,,,,,,,,,
Richelieu-Vanier Centre,1131,265,119,55,24,52,15,,,,,,,,,,,,,,,
The St. George Apartments - Adv 1,0,35,7,5,4,18,1,,,,,,,,,,,,,,,
Sussex Place - Adv 1,0,29,7,10,3,1,8,,,,,,,,,,,,,,,
A. Belanger Manor - Adv 1,0,6,1,4,0,0,1,,,,,,,,,,,,,,,
City Living (110 Cobourg) - Adv 1,0,21,11,3,3,1,3,,,,,,,,,,,,,,,
O. C. H. (160 Charlotte) - Adv 1,0,55,24,11,8,0,12,,,,,,,,,,,,,,,
O. C. H. (380 Murray) - Adv 1,0,23,7,3,4,2,7,,,,,,,,,,,,,,,
