Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Total Polling ,13415,5046,1716,3330,,,,,,,,,,,,,,,,,,
Adv Vote ,26830,755,243,512,,,,,,,,,,,,,,,,,,
Total,13415,5801,1959,3842,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CEPEO Secteur 12,Reg. Voters,Total Votes,Bernard Bareilhe,Abdourahman Kahin,Linda Savard,,,,,,,,,,,,,,,,,
Constance Buckham's Bay Community Centre,44,16,3,0,13,,,,,,,,,,,,,,,,,
West Carleton Secondary School,40,10,0,0,10,,,,,,,,,,,,,,,,,
St. Isidore Catholic School,54,20,2,0,18,,,,,,,,,,,,,,,,,
Fitzroy Harbour Community Centre,22,6,3,0,3,,,,,,,,,,,,,,,,,
Kinburn Community Centre,8,4,2,2,0,,,,,,,,,,,,,,,,,
Carp Agricultural Hall,42,14,3,0,11,,,,,,,,,,,,,,,,,
St. Michael Catholic School (Corkery) ,33,14,2,1,11,,,,,,,,,,,,,,,,,
Constance Buckham's Bay C.C. - Adv 1,0,1,0,0,1,,,,,,,,,,,,,,,,,
Kinburn Community Centre - Adv 1,0,3,2,1,0,,,,,,,,,,,,,,,,,
St. Michael Catholic School (Corkery) - Adv 1,0,2,0,0,2,,,,,,,,,,,,,,,,,
Fitzroy Harbour Community Centre - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Carp Agricultural Hall - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Total Polling ,243,84,15,3,66,,,,,,,,,,,,,,,,,
Adv Vote ,486,6,2,1,3,,,,,,,,,,,,,,,,,
Total,243,90,17,4,69,,,,,,,,,,,,,,,,,
