Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Blackthorne Towers Apartments - Adv 1,0,15,0,3,4,1,0,6,0,0,0,1,,,,,,,,,,
Brittany Place - Adv 1,0,132,3,5,18,0,0,78,1,1,3,23,,,,,,,,,,
Thomson Terrace Apartments - Adv 1,0,108,1,5,6,0,0,83,1,2,3,7,,,,,,,,,,
Brittany Park Recreation - Adv 1,0,34,1,3,5,0,0,16,0,1,5,3,,,,,,,,,,
Le Parc Apartments - Adv 1,0,177,0,5,43,1,0,106,4,2,1,15,,,,,,,,,,
Liuna Housing 527 - Adv 1,0,27,0,3,5,2,0,10,1,0,1,5,,,,,,,,,,
Highlands Apartments - Adv 1,0,181,1,4,56,0,0,94,0,1,6,19,,,,,,,,,,
Brittany Apartments - Adv 1,0,39,1,1,6,4,0,15,2,0,2,8,,,,,,,,,,
Las Brisas Apartments - Adv 1,0,144,2,12,42,0,1,59,6,1,3,18,,,,,,,,,,
Crosswinds Apartments - Adv 1,0,155,1,10,48,1,0,50,1,0,8,36,,,,,,,,,,
Senior's Club 800 - Adv 1,0,83,1,3,7,1,0,35,2,1,10,23,,,,,,,,,,
Queen Mary Court - Adv 1,0,8,1,2,0,0,0,0,0,0,0,5,,,,,,,,,,
Chateau Donald - Adv 1,0,45,3,4,4,1,0,14,3,1,8,7,,,,,,,,,,
Donald Court - Adv 1,0,15,0,1,3,1,0,5,0,0,4,1,,,,,,,,,,
St. Laurent Complex - Adv 1,0,366,17,35,94,8,13,92,10,1,37,59,,,,,,,,,,
Rockcliffe Park Community Centre - Adv 2,0,512,25,69,117,3,14,77,7,1,91,108,,,,,,,,,,
Polling,25689,9656,396,1229,2511,118,353,1666,207,67,1581,1528,,,,,,,,,,
Adv Vote,51378,878,42,104,211,11,27,169,17,2,128,167,,,,,,,,,,
Total,25689,10534,438,1333,2722,129,380,1835,224,69,1709,1695,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 6,Reg. Voters,Total Votes,Mohamoud Abdulle,Bronwyn Funiciello,John Marshall,,,,,,,,,,,,,,,,,
St. Bartholomew's Church,1812,705,51,560,94,,,,,,,,,,,,,,,,,
Rockcliffe Park Community Centre,2107,684,24,529,131,,,,,,,,,,,,,,,,,
Manor Park Public School,1935,782,43,583,156,,,,,,,,,,,,,,,,,
East Gate Alliance Church,2188,340,36,185,119,,,,,,,,,,,,,,,,,
College catholique Samuel-Genest,1964,475,43,193,239,,,,,,,,,,,,,,,,,
Montfort Long Term Care Centre,2,0,0,0,0,,,,,,,,,,,,,,,,,
Our Lady of Mount Carmel School,821,206,26,72,108,,,,,,,,,,,,,,,,,
St. Laurent Complex,1063,252,38,74,140,,,,,,,,,,,,,,,,,
Queen Mary Public School,1320,252,73,79,100,,,,,,,,,,,,,,,,,
Overbrook Community Centre,1479,435,62,234,139,,,,,,,,,,,,,,,,,
New Edinburgh Square,53,39,1,16,22,,,,,,,,,,,,,,,,,
The Edinburgh Retirement Residence,48,14,1,8,5,,,,,,,,,,,,,,,,,
Presland Residences,43,18,2,3,13,,,,,,,,,,,,,,,,,
Heritage Manor,97,34,4,7,23,,,,,,,,,,,,,,,,,
Maison Accueil-Sagesse,0,0,0,0,0,,,,,,,,,,,,,,,,,
Marochel Manor,235,3,0,1,2,,,,,,,,,,,,,,,,,
Governor's Walk,59,22,1,8,13,,,,,,,,,,,,,,,,,
Springfield Residence - Adv 1,0,5,1,3,1,,,,,,,,,,,,,,,,,
Champlain Towers - Adv 1,0,38,2,19,17,,,,,,,,,,,,,,,,,
St. Laurent Place - Adv 1,0,9,2,2,5,,,,,,,,,,,,,,,,,
Mario De Giovani Housing - Adv 1,0,31,1,10,20,,,,,,,,,,,,,,,,,
Montfort Manor - Adv 1,0,22,0,3,19,,,,,,,,,,,,,,,,,
Blackthorne Towers Apartments - Adv 1,0,10,1,2,7,,,,,,,,,,,,,,,,,
Brittany Place - Adv 1,0,43,3,11,29,,,,,,,,,,,,,,,,,
Thomson Terrace Apartments - Adv 1,0,61,6,14,41,,,,,,,,,,,,,,,,,
Brittany Park Recreation - Adv 1,0,14,0,4,10,,,,,,,,,,,,,,,,,
Le Parc Apartments - Adv 1,0,41,0,9,32,,,,,,,,,,,,,,,,,
Liuna Housing 527 - Adv 1,0,13,1,4,8,,,,,,,,,,,,,,,,,
Highlands Apartments - Adv 1,0,57,4,21,32,,,,,,,,,,,,,,,,,
Brittany Apartments - Adv 1,0,23,3,5,15,,,,,,,,,,,,,,,,,
Las Brisas Apartments - Adv 1,0,52,2,15,35,,,,,,,,,,,,,,,,,
Crosswinds Apartments - Adv 1,0,67,3,13,51,,,,,,,,,,,,,,,,,
Senior's Club 800 - Adv 1,0,42,2,4,36,,,,,,,,,,,,,,,,,
Queen Mary Court - Adv 1,0,3,2,1,0,,,,,,,,,,,,,,,,,
Chateau Donald - Adv 1,0,28,8,5,15,,,,,,,,,,,,,,,,,
Donald Court - Adv 1,0,10,1,1,8,,,,,,,,,,,,,,,,,
St. Laurent Complex - Adv 1,0,201,27,81,93,,,,,,,,,,,,,,,,,
Rockcliffe Park Community Centre - Adv 2,0,288,19,178,91,,,,,,,,,,,,,,,,,
Polling,15226,4830,447,2698,1685,,,,,,,,,,,,,,,,,
Adv Vote,30452,489,46,259,184,,,,,,,,,,,,,,,,,
Total,15226,5319,493,2957,1869,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCSB Zone 10,Reg. Voters,Total Votes,Megan Crowe,Tom Duggan,Thérèse M. Cousineau,,,,,,,,,,,,,,,,,
St. Bartholomew's Church,206,73,21,23,29,,,,,,,,,,,,,,,,,
Rockcliffe Park Community Centre,178,59,19,21,19,,,,,,,,,,,,,,,,,
Manor Park Public School,324,117,47,28,42,,,,,,,,,,,,,,,,,
East Gate Alliance Church,426,75,22,35,18,,,,,,,,,,,,,,,,,
College catholique Samuel-Genest,555,147,54,41,52,,,,,,,,,,,,,,,,,
Montfort Long Term Care Centre,1,0,0,0,0,,,,,,,,,,,,,,,,,
Our Lady of Mount Carmel School,312,90,24,19,47,,,,,,,,,,,,,,,,,
St. Laurent Complex,327,82,14,29,39,,,,,,,,,,,,,,,,,
Queen Mary Public School,571,100,28,33,39,,,,,,,,,,,,,,,,,
Overbrook Community Centre,388,129,36,31,62,,,,,,,,,,,,,,,,,
New Edinburgh Square,0,4,3,1,0,,,,,,,,,,,,,,,,,
The Edinburgh Retirement Residence,0,0,0,0,0,,,,,,,,,,,,,,,,,
Presland Residences,0,0,0,0,0,,,,,,,,,,,,,,,,,
Heritage Manor,0,0,0,0,0,,,,,,,,,,,,,,,,,
Maison Accueil-Sagesse,0,0,0,0,0,,,,,,,,,,,,,,,,,
Marochel Manor,0,0,0,0,0,,,,,,,,,,,,,,,,,
Governor's Walk,0,0,0,0,0,,,,,,,,,,,,,,,,,
Springfield Residence - Adv 1,0,1,0,0,1,,,,,,,,,,,,,,,,,
Champlain Towers - Adv 1,0,4,2,2,0,,,,,,,,,,,,,,,,,
St. Laurent Place - Adv 1,0,0,0,0,0,,,,,,,,,,,,,,,,,
Mario De Giovani Housing - Adv 1,0,6,4,1,1,,,,,,,,,,,,,,,,,
Montfort Manor - Adv 1,0,1,1,0,0,,,,,,,,,,,,,,,,,
Blackthorne Towers Apartments - Adv 1,0,2,2,0,0,,,,,,,,,,,,,,,,,
Brittany Place - Adv 1,0,11,0,1,10,,,,,,,,,,,,,,,,,
Thomson Terrace Apartments - Adv 1,0,4,0,2,2,,,,,,,,,,,,,,,,,
Brittany Park Recreation - Adv 1,0,5,1,2,2,,,,,,,,,,,,,,,,,
Le Parc Apartments - Adv 1,0,14,1,7,6,,,,,,,,,,,,,,,,,
Liuna Housing 527 - Adv 1,0,3,0,1,2,,,,,,,,,,,,,,,,,
Highlands Apartments - Adv 1,0,20,8,6,6,,,,,,,,,,,,,,,,,
Brittany Apartments - Adv 1,0,2,0,1,1,,,,,,,,,,,,,,,,,
Las Brisas Apartments - Adv 1,0,9,4,4,1,,,,,,,,,,,,,,,,,
Crosswinds Apartments - Adv 1,0,19,0,14,5,,,,,,,,,,,,,,,,,
Senior's Club 800 - Adv 1,0,5,1,2,2,,,,,,,,,,,,,,,,,
Queen Mary Court - Adv 1,0,1,0,0,1,,,,,,,,,,,,,,,,,
Chateau Donald - Adv 1,0,7,3,0,4,,,,,,,,,,,,,,,,,
Donald Court - Adv 1,0,0,0,0,0,,,,,,,,,,,,,,,,,
St. Laurent Complex - Adv 1,0,40,8,13,19,,,,,,,,,,,,,,,,,
Rockcliffe Park Community Centre - Adv 2,0,53,11,27,15,,,,,,,,,,,,,,,,,
Polling,3288,990,295,304,391,,,,,,,,,,,,,,,,,
Adv Vote,6576,93,19,40,34,,,,,,,,,,,,,,,,,
Total,3288,1083,314,344,425,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CEPEO Secteur 9,Reg. Voters,Total Votes,Sylvain Bélanger,Marielle Godbout,,,,,,,,,,,,,,,,,,
St. Bartholomew's Church,216,93,46,47,,,,,,,,,,,,,,,,,,
Rockcliffe Park Community Centre,145,51,15,36,,,,,,,,,,,,,,,,,,
Manor Park Public School,238,104,44,60,,,,,,,,,,,,,,,,,,
East Gate Alliance Church,354,87,38,49,,,,,,,,,,,,,,,,,,
College catholique Samuel-Genest,366,115,37,78,,,,,,,,,,,,,,,,,,
Montfort Long Term Care Centre,0,0,0,0,,,,,,,,,,,,,,,,,,
Our Lady of Mount Carmel School,120,36,18,18,,,,,,,,,,,,,,,,,,
St. Laurent Complex,238,90,47,43,,,,,,,,,,,,,,,,,,
Queen Mary Public School,308,74,36,38,,,,,,,,,,,,,,,,,,
Overbrook Community Centre,245,114,40,74,,,,,,,,,,,,,,,,,,
New Edinburgh Square,0,2,0,2,,,,,,,,,,,,,,,,,,
The Edinburgh Retirement Residence,0,0,0,0,,,,,,,,,,,,,,,,,,
Presland Residences,20,14,7,7,,,,,,,,,,,,,,,,,,
Heritage Manor,80,37,16,21,,,,,,,,,,,,,,,,,,
Maison Accueil-Sagesse,0,0,0,0,,,,,,,,,,,,,,,,,,
Marochel Manor,0,1,0,1,,,,,,,,,,,,,,,,,,
Governor's Walk,0,0,0,0,,,,,,,,,,,,,,,,,,
Springfield Residence - Adv 1,0,7,7,0,,,,,,,,,,,,,,,,,,
Champlain Towers - Adv 1,0,3,1,2,,,,,,,,,,,,,,,,,,
St. Laurent Place - Adv 1,0,1,0,1,,,,,,,,,,,,,,,,,,
Mario De Giovani Housing - Adv 1,0,0,0,0,,,,,,,,,,,,,,,,,,
Montfort Manor - Adv 1,0,5,1,4,,,,,,,,,,,,,,,,,,
Blackthorne Towers Apartments - Adv 1,0,1,0,1,,,,,,,,,,,,,,,,,,
Brittany Place - Adv 1,0,13,2,11,,,,,,,,,,,,,,,,,,
Thomson Terrace Apartments - Adv 1,0,10,1,9,,,,,,,,,,,,,,,,,,
Brittany Park Recreation - Adv 1,0,2,0,2,,,,,,,,,,,,,,,,,,
Le Parc Apartments - Adv 1,0,14,1,13,,,,,,,,,,,,,,,,,,
Liuna Housing 527 - Adv 1,0,1,0,1,,,,,,,,,,,,,,,,,,
Highlands Apartments - Adv 1,0,12,0,12,,,,,,,,,,,,,,,,,,
Brittany Apartments - Adv 1,0,1,1,0,,,,,,,,,,,,,,,,,,
Las Brisas Apartments - Adv 1,0,12,7,5,,,,,,,,,,,,,,,,,,
Crosswinds Apartments - Adv 1,0,10,1,9,,,,,,,,,,,,,,,,,,
Senior's Club 800 - Adv 1,0,5,2,3,,,,,,,,,,,,,,,,,,
Queen Mary Court - Adv 1,0,0,0,0,,,,,,,,,,,,,,,,,,
Chateau Donald - Adv 1,0,2,1,1,,,,,,,,,,,,,,,,,,
Donald Court - Adv 1,0,1,1,0,,,,,,,,,,,,,,,,,,
St. Laurent Complex - Adv 1,0,24,8,16,,,,,,,,,,,,,,,,,,
Rockcliffe Park Community Centre - Adv 2,0,43,17,26,,,,,,,,,,,,,,,,,,
Polling,2330,918,370,548,,,,,,,,,,,,,,,,,,
Adv Vote,4660,67,25,42,,,,,,,,,,,,,,,,,,
Total,2330,985,395,590,,,,,,,,,,,,,,,,,,
