Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
St. Elizabeth Catholic School,2327,708,0,1,131,0,3,47,1,0,0,0,1,17,159,3,0,1,0,3,341,0
Carlington Recreation Centre,3101,939,3,10,134,4,4,39,1,0,0,0,2,17,154,1,4,2,3,7,547,7
Parklane Residence,80,35,0,0,2,1,1,1,0,1,2,0,0,2,9,1,0,1,2,1,10,1
Alexander Community Centre,3726,1337,9,14,281,1,1,94,1,1,0,0,0,21,229,3,3,0,2,10,664,3
St. Pius X High School,3416,941,5,5,189,1,1,56,2,2,1,1,0,19,194,0,1,0,7,7,449,1
Carleton Heights Community Centre,2119,932,6,3,109,1,1,58,0,1,1,0,1,11,229,2,0,0,4,3,499,3
St. Patrick's Home,170,54,0,0,5,0,0,6,1,0,0,0,0,0,8,0,0,0,4,0,29,1
Holy Cross Church,2920,1243,5,3,205,0,1,59,0,0,0,0,0,34,281,0,0,0,6,7,641,1
Ecole catholique George-Etienne-Cartier,2489,1091,4,0,206,1,2,64,0,1,0,0,1,29,255,3,1,0,4,7,512,1
Marius-Barbeau Catholic School,1246,416,3,3,48,2,1,26,1,1,1,1,1,8,113,1,1,0,1,3,200,1
Tudor Hall,3298,1278,5,5,162,1,3,74,2,1,1,1,1,42,316,2,0,0,4,3,653,2
Hunt Club/Riverside Community Centre,2697,844,3,7,115,0,3,43,0,2,0,1,1,21,163,0,0,0,5,5,474,1
Landmark Court,59,46,0,0,5,0,0,6,0,0,0,0,0,1,12,0,0,1,0,0,21,0
Bayview Public School,2817,1104,5,3,135,1,2,55,0,1,0,0,0,37,277,2,2,1,2,5,576,0
Park Place Retirement Residence,184,108,0,0,19,0,0,9,0,0,0,0,0,1,25,0,0,0,0,0,53,1
Windsor Park Manor Retirement Living,50,42,1,0,7,0,0,3,1,1,0,0,0,0,17,0,0,0,1,0,11,0
Andy Andras Housing Co-op - Adv 2,0,26,0,0,2,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,17,0
Lepage Manor - Adv 2,0,64,0,0,1,0,2,5,0,1,0,0,1,2,8,0,0,0,0,3,41,0
Chateau Royale (1380 Prince of Wales)-Adv2,0,99,0,0,8,0,0,11,0,0,0,0,0,3,32,0,0,0,0,1,44,0
Chateau Royale (900 Dynes) - Adv 2,0,98,0,0,16,1,0,9,0,0,0,0,0,2,25,0,0,1,1,0,42,1
Denbury Condominiums - Adv 2,0,123,1,0,10,0,0,13,0,0,0,0,0,3,27,0,0,0,0,0,68,1
Tannenhof Co-op - Adv 2,0,55,0,0,1,0,0,3,0,0,0,0,0,1,24,0,0,0,0,1,25,0
Alexander Community Centre - Adv 1,0,349,0,1,42,0,1,49,1,0,0,0,0,10,58,1,1,0,2,2,181,0
Hunt Club/Riverside C.C. - Adv 2,0,898,2,2,84,2,5,65,0,0,0,0,0,31,256,1,0,1,5,1,441,2
Polling,30699,11583,50,54,1791,14,25,684,10,13,6,4,9,271,2561,18,12,7,46,66,5917,25
Adv Vote,61398,1247,2,3,126,2,6,114,1,0,0,0,0,41,314,2,1,1,7,3,622,2
Total,30699,12830,52,57,1917,16,31,798,11,13,6,4,9,312,2875,20,13,8,53,69,6539,27
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 16,Reg. Voters,Total Votes,Ian Boyd,Michael Kostiuk,Maria McRae,Nadia Willard,,,,,,,,,,,,,,,,
St. Elizabeth Catholic School,2327,685,107,113,358,107,,,,,,,,,,,,,,,,
Carlington Recreation Centre,3101,936,102,99,557,178,,,,,,,,,,,,,,,,
Parklane Residence,80,32,2,4,22,4,,,,,,,,,,,,,,,,
Alexander Community Centre,3726,1279,184,199,704,192,,,,,,,,,,,,,,,,
St. Pius X High School,3416,933,128,121,455,229,,,,,,,,,,,,,,,,
Carleton Heights Community Centre,2119,914,105,97,530,182,,,,,,,,,,,,,,,,
St. Patrick's Home,170,47,3,2,39,3,,,,,,,,,,,,,,,,
Holy Cross Church,2920,1232,267,141,673,151,,,,,,,,,,,,,,,,
Ecole catholique George-Etienne-Cartier,2489,1083,219,138,649,77,,,,,,,,,,,,,,,,
Marius-Barbeau Catholic School,1246,405,45,39,262,59,,,,,,,,,,,,,,,,
Tudor Hall,3298,1255,185,170,780,120,,,,,,,,,,,,,,,,
Hunt Club/Riverside Community Centre,2697,832,127,94,503,108,,,,,,,,,,,,,,,,
Landmark Court,59,38,4,3,17,14,,,,,,,,,,,,,,,,
Bayview Public School,2817,1096,184,95,718,99,,,,,,,,,,,,,,,,
Park Place Retirement Residence,184,107,16,4,87,0,,,,,,,,,,,,,,,,
Windsor Park Manor Retirement Living,50,38,3,3,31,1,,,,,,,,,,,,,,,,
Andy Andras Housing Co-op - Adv 2,0,26,1,3,22,0,,,,,,,,,,,,,,,,
Lepage Manor - Adv 2,0,61,4,1,46,10,,,,,,,,,,,,,,,,
Chateau Royale (1380 Prince of Wales)-Adv2,0,91,27,5,44,15,,,,,,,,,,,,,,,,
Chateau Royale (900 Dynes) - Adv 2,0,90,14,9,63,4,,,,,,,,,,,,,,,,
Denbury Condominiums - Adv 2,0,122,19,7,82,14,,,,,,,,,,,,,,,,
Tannenhof Co-op - Adv 2,0,56,3,2,50,1,,,,,,,,,,,,,,,,
Alexander Community Centre - Adv 1,0,340,54,19,229,38,,,,,,,,,,,,,,,,
Hunt Club/Riverside C.C. - Adv 2,0,890,105,112,575,98,,,,,,,,,,,,,,,,
Polling,30699,11358,1749,1349,6692,1568,,,,,,,,,,,,,,,,
Adv Vote,61398,1230,159,131,804,136,,,,,,,,,,,,,,,,
Total,30699,12588,1908,1480,7496,1704,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCSB Zone 9,Reg. Voters,Total Votes,Kathy Ablett,John Chiarelli,,,,,,,,,,,,,,,,,,
St. Elizabeth Catholic School,532,182,94,88,,,,,,,,,,,,,,,,,,
Carlington Recreation Centre,374,144,86,58,,,,,,,,,,,,,,,,,,
Parklane Residence,0,0,0,0,,,,,,,,,,,,,,,,,,
Alexander Community Centre,750,224,124,100,,,,,,,,,,,,,,,,,,
St. Pius X High School,788,228,97,131,,,,,,,,,,,,,,,,,,
Carleton Heights Community Centre,817,348,136,212,,,,,,,,,,,,,,,,,,
St. Patrick's Home,105,32,15,17,,,,,,,,,,,,,,,,,,
Holy Cross Church,477,207,143,64,,,,,,,,,,,,,,,,,,
Ecole catholique George-Etienne-Cartier,472,217,152,65,,,,,,,,,,,,,,,,,,
Marius-Barbeau Catholic School,296,92,44,48,,,,,,,,,,,,,,,,,,
Tudor Hall,531,206,136,70,,,,,,,,,,,,,,,,,,
Hunt Club/Riverside Community Centre,486,173,106,67,,,,,,,,,,,,,,,,,,
Landmark Court,3,3,1,2,,,,,,,,,,,,,,,,,,
Bayview Public School,700,255,190,65,,,,,,,,,,,,,,,,,,
Park Place Retirement Residence,1,2,1,1,,,,,,,,,,,,,,,,,,
Windsor Park Manor Retirement Living,3,3,2,1,,,,,,,,,,,,,,,,,,
Andy Andras Housing Co-op - Adv 2,0,7,3,4,,,,,,,,,,,,,,,,,,
Lepage Manor - Adv 2,0,18,5,13,,,,,,,,,,,,,,,,,,
Chateau Royale (1380 Prince of Wales)-Adv2,0,15,7,8,,,,,,,,,,,,,,,,,,
Chateau Royale (900 Dynes) - Adv 2,0,8,4,4,,,,,,,,,,,,,,,,,,
Denbury Condominiums - Adv 2,0,25,19,6,,,,,,,,,,,,,,,,,,
Tannenhof Co-op - Adv 2,0,4,3,1,,,,,,,,,,,,,,,,,,
Alexander Community Centre - Adv 1,0,48,32,16,,,,,,,,,,,,,,,,,,
Hunt Club/Riverside C.C. - Adv 2,0,165,107,58,,,,,,,,,,,,,,,,,,
Polling,6335,2393,1368,1025,,,,,,,,,,,,,,,,,,
Adv Vote,12670,213,139,74,,,,,,,,,,,,,,,,,,
Total,6335,2606,1507,1099,,,,,,,,,,,,,,,,,,
