Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Dunning Foubert Elementary School,3503,1371,3,2,191,0,10,59,0,0,1,0,2,27,336,1,1,0,4,1,733,0
Ecole elementaire publique Jeanne-Sauve,2840,1212,2,4,133,2,7,35,0,1,0,1,1,24,282,0,5,0,9,3,703,0
Ecole elementaire catholique Arc-En-Ciel,1916,760,4,1,94,0,8,37,0,0,0,0,1,30,163,0,2,0,3,0,416,1
South Fallingbrook Community Centre,1952,688,3,3,63,0,4,23,0,1,1,0,0,7,178,0,1,0,4,2,397,1
St. Theresa Elementary School,2327,764,1,0,70,0,9,27,0,0,0,1,0,10,156,1,3,2,1,2,481,0
Ecole secondaire Beatrice-Desloges,2275,880,3,2,78,1,12,32,0,2,0,2,1,18,180,0,0,1,5,6,536,1
Avalon Public School,3459,1133,6,12,127,2,16,38,1,0,2,0,2,22,212,2,4,0,3,8,672,4
R.J. Kennedy Community Centre,3574,1449,7,2,186,1,12,70,1,1,0,0,1,35,465,1,2,1,7,5,652,0
Cumberland Lodge,64,21,1,0,2,1,2,0,0,1,1,0,1,0,4,0,0,1,0,0,7,0
Sarsfield Community Centre,857,317,0,0,39,0,6,13,0,0,0,0,1,10,91,1,0,1,0,4,151,0
Carlsbad Springs Community Centre,1305,456,0,0,45,0,12,43,0,1,0,0,0,19,148,0,1,0,2,0,185,0
Heritage Public School,2305,976,2,3,89,2,8,50,3,1,0,0,0,16,341,0,1,0,4,3,453,0
Ecole elementaire Saint-Guillaume,2274,788,0,1,89,0,14,70,0,0,0,0,0,41,227,0,2,1,7,2,333,1
Sarsfield Colonial Home - Adv 1,0,6,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0
Champagne Residence - Adv 1,0,12,1,0,1,0,2,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0
Residence Ste-Marie - Adv 1,0,13,1,0,0,0,0,1,0,0,0,0,0,1,5,0,0,0,1,1,0,3
Pine Rest Residential Home - Adv 1,0,14,1,1,2,2,0,0,0,0,0,1,0,1,5,0,0,0,1,0,0,0
South Fallingbrook C.C. - Adv 1,0,336,2,1,16,0,5,44,0,0,0,0,1,12,80,0,2,0,0,1,172,0
Sarsfield Community Centre - Adv 1,0,56,1,0,0,0,1,9,0,0,0,0,0,3,16,0,0,0,0,0,26,0
Bearbrook Community Centre - Adv 1,0,67,0,0,5,0,1,15,0,0,0,0,0,0,25,0,0,0,1,0,20,0
South Fallingbrook C.C. - Adv 2,0,592,1,0,31,1,2,50,2,0,0,0,0,17,187,0,1,0,1,2,296,1
R.J. Kennedy Community Centre - Adv 2,0,209,0,0,14,0,1,14,0,0,0,0,0,0,71,0,0,0,0,0,109,0
Carlsbad Springs Community Centre - Adv 2,0,64,0,0,7,0,3,3,0,0,0,0,0,2,22,0,0,0,0,0,27,0
Polling,28651,10860,35,31,1209,11,122,499,6,8,5,5,10,262,2802,6,22,7,51,37,5721,11
Adv Vote,57302,1324,4,1,73,1,13,135,2,0,0,0,1,34,401,0,3,0,2,3,650,1
Total,28651,12184,39,32,1282,12,135,634,8,8,5,5,11,296,3203,6,25,7,53,40,6371,12
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 19,Reg. Voters,Total Votes,Stephen Blais,Rob Jellett,Patrick Paquette,,,,,,,,,,,,,,,,,
Dunning Foubert Elementary School,3503,1364,860,450,54,,,,,,,,,,,,,,,,,
Ecole elementaire publique Jeanne-Sauve,2840,1204,830,334,40,,,,,,,,,,,,,,,,,
Ecole elementaire catholique Arc-En-Ciel,1916,758,468,268,22,,,,,,,,,,,,,,,,,
South Fallingbrook Community Centre,1952,684,425,243,16,,,,,,,,,,,,,,,,,
St. Theresa Elementary School,2327,767,483,258,26,,,,,,,,,,,,,,,,,
Ecole secondaire Beatrice-Desloges,2275,881,553,304,24,,,,,,,,,,,,,,,,,
Avalon Public School,3459,1130,668,408,54,,,,,,,,,,,,,,,,,
R.J. Kennedy Community Centre,3574,1445,555,791,99,,,,,,,,,,,,,,,,,
Cumberland Lodge,64,20,7,9,4,,,,,,,,,,,,,,,,,
Sarsfield Community Centre,857,317,106,203,8,,,,,,,,,,,,,,,,,
Carlsbad Springs Community Centre,1305,452,160,270,22,,,,,,,,,,,,,,,,,
