Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Heritage Public School,2305,974,322,611,41,,,,,,,,,,,,,,,,,
Ecole elementaire Saint-Guillaume,2274,790,240,507,43,,,,,,,,,,,,,,,,,
Sarsfield Colonial Home - Adv 1,0,6,4,2,0,,,,,,,,,,,,,,,,,
Champagne Residence - Adv 1,0,10,4,3,3,,,,,,,,,,,,,,,,,
Residence Ste-Marie - Adv 1,0,12,5,3,4,,,,,,,,,,,,,,,,,
Pine Rest Residential Home - Adv 1,0,14,3,8,3,,,,,,,,,,,,,,,,,
South Fallingbrook C.C. - Adv 1,0,336,206,113,17,,,,,,,,,,,,,,,,,
Sarsfield Community Centre - Adv 1,0,56,15,40,1,,,,,,,,,,,,,,,,,
Bearbrook Community Centre - Adv 1,0,68,20,46,2,,,,,,,,,,,,,,,,,
South Fallingbrook C.C. - Adv 2,0,588,335,239,14,,,,,,,,,,,,,,,,,
R.J. Kennedy Community Centre - Adv 2,0,205,73,126,6,,,,,,,,,,,,,,,,,
Carlsbad Springs Community Centre - Adv 2,0,63,16,46,1,,,,,,,,,,,,,,,,,
Polling,28651,10828,5693,4672,463,,,,,,,,,,,,,,,,,
Adv Vote,57302,1316,665,610,41,,,,,,,,,,,,,,,,,
Total,28651,12144,6358,5282,504,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 8,Reg. Voters,Total Votes,Lale Eskicioglu,John Shea,,,,,,,,,,,,,,,,,,
Dunning Foubert Elementary School,1784,619,107,512,,,,,,,,,,,,,,,,,,
Ecole elementaire publique Jeanne-Sauve,1136,444,78,366,,,,,,,,,,,,,,,,,,
Ecole elementaire catholique Arc-En-Ciel,853,288,58,230,,,,,,,,,,,,,,,,,,
South Fallingbrook Community Centre,1057,309,51,258,,,,,,,,,,,,,,,,,,
St. Theresa Elementary School,1207,336,75,261,,,,,,,,,,,,,,,,,,
Ecole secondaire Beatrice-Desloges,1347,395,102,293,,,,,,,,,,,,,,,,,,
Avalon Public School,2323,611,148,463,,,,,,,,,,,,,,,,,,
R.J. Kennedy Community Centre,1663,554,123,431,,,,,,,,,,,,,,,,,,
Cumberland Lodge,64,14,3,11,,,,,,,,,,,,,,,,,,
Sarsfield Community Centre,336,93,13,80,,,,,,,,,,,,,,,,,,
Carlsbad Springs Community Centre,660,193,32,161,,,,,,,,,,,,,,,,,,
Heritage Public School,1084,477,65,412,,,,,,,,,,,,,,,,,,
Ecole elementaire Saint-Guillaume,1045,305,45,260,,,,,,,,,,,,,,,,,,
Sarsfield Colonial Home - Adv 1,0,4,1,3,,,,,,,,,,,,,,,,,,
Champagne Residence - Adv 1,0,0,0,0,,,,,,,,,,,,,,,,,,
Residence Ste-Marie - Adv 1,0,9,1,8,,,,,,,,,,,,,,,,,,
Pine Rest Residential Home - Adv 1,0,14,5,9,,,,,,,,,,,,,,,,,,
South Fallingbrook C.C. - Adv 1,0,155,31,124,,,,,,,,,,,,,,,,,,
Sarsfield Community Centre - Adv 1,0,26,10,16,,,,,,,,,,,,,,,,,,
Bearbrook Community Centre - Adv 1,0,34,6,28,,,,,,,,,,,,,,,,,,
South Fallingbrook C.C. - Adv 2,0,254,35,219,,,,,,,,,,,,,,,,,,
R.J. Kennedy Community Centre - Adv 2,0,90,18,72,,,,,,,,,,,,,,,,,,
Carlsbad Springs Community Centre - Adv 2,0,33,9,24,,,,,,,,,,,,,,,,,,
Polling,14559,4665,907,3758,,,,,,,,,,,,,,,,,,
Adv Vote,29118,592,109,483,,,,,,,,,,,,,,,,,,
Total,14559,5257,1016,4241,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCSB Zone 3,Reg. Voters,Total Votes,Brian Coburn,Michael Karpishka,Anita MacDonald,Marc-André Plante,Xavier Rankin,,,,,,,,,,,,,,,
Dunning Foubert Elementary School,751,244,98,7,60,17,62,,,,,,,,,,,,,,,
Ecole elementaire publique Jeanne-Sauve,741,280,85,13,83,23,76,,,,,,,,,,,,,,,
Ecole elementaire catholique Arc-En-Ciel,441,176,57,2,57,24,36,,,,,,,,,,,,,,,
South Fallingbrook Community Centre,298,116,30,9,40,15,22,,,,,,,,,,,,,,,
St. Theresa Elementary School,329,104,35,7,33,7,22,,,,,,,,,,,,,,,
Ecole secondaire Beatrice-Desloges,265,118,30,2,51,14,21,,,,,,,,,,,,,,,
Avalon Public School,349,140,33,4,47,20,36,,,,,,,,,,,,,,,
R.J. Kennedy Community Centre,481,193,90,17,42,14,30,,,,,,,,,,,,,,,
Cumberland Lodge,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
Sarsfield Community Centre,47,13,8,1,3,1,0,,,,,,,,,,,,,,,
Carlsbad Springs Community Centre,181,70,33,4,17,5,11,,,,,,,,,,,,,,,
Heritage Public School,328,115,65,2,27,10,11,,,,,,,,,,,,,,,
Ecole elementaire Saint-Guillaume,220,75,38,1,9,5,22,,,,,,,,,,,,,,,
Sarsfield Colonial Home - Adv 1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Champagne Residence - Adv 1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Residence Ste-Marie - Adv 1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Pine Rest Residential Home - Adv 1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
South Fallingbrook C.C. - Adv 1,0,55,16,1,16,6,16,,,,,,,,,,,,,,,
Sarsfield Community Centre - Adv 1,0,1,1,0,0,0,0,,,,,,,,,,,,,,,
Bearbrook Community Centre - Adv 1,0,6,5,0,0,0,1,,,,,,,,,,,,,,,
South Fallingbrook C.C. - Adv 2,0,112,46,7,33,13,13,,,,,,,,,,,,,,,
R.J. Kennedy Community Centre - Adv 2,0,28,13,3,6,2,4,,,,,,,,,,,,,,,
Carlsbad Springs Community Centre - Adv 2,0,4,1,1,2,0,0,,,,,,,,,,,,,,,
Polling,4431,1645,603,69,469,155,349,,,,,,,,,,,,,,,
Adv Vote,8862,206,82,12,57,21,34,,,,,,,,,,,,,,,
Total,4431,1851,685,81,526,176,383,,,,,,,,,,,,,,,
