Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Dovercourt Recreation Centre,1973,978,1,1,262,1,0,29,0,0,0,0,0,19,144,0,0,0,1,12,506,2
Notre Dame High School,2567,1125,3,2,270,1,0,52,0,0,0,0,0,20,227,0,2,0,3,3,542,0
Hillel Lodge,100,23,1,0,2,0,0,1,0,0,0,0,0,1,7,0,2,0,0,0,8,1
All Saints Anglican Church,3526,1301,2,2,291,1,0,70,0,0,0,1,1,17,234,1,1,1,6,8,663,2
Churchill Alternative School,2460,1108,4,0,305,0,0,44,2,0,1,0,0,13,176,4,0,0,2,10,541,6
St. George's Catholic Church,2767,1161,3,1,341,0,2,46,2,1,0,3,0,20,206,1,1,1,1,4,528,0
St. George School,2695,1354,2,2,409,0,0,30,0,0,1,1,0,21,207,1,0,2,5,6,665,2
Elmdale Public School,2293,1172,4,2,331,0,3,39,0,0,0,1,0,5,172,1,0,0,4,3,606,1
Tom Brown Arena,3175,962,1,2,278,2,5,38,1,1,0,0,0,26,139,1,1,0,9,4,452,2
Connaught Public School,2499,963,3,2,350,2,1,16,0,0,0,0,0,16,116,1,1,0,7,13,435,0
Rosemount Centre for Seniors,24,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
Civic Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fisher Park Public School,3554,1635,3,1,410,1,1,58,0,2,0,0,0,18,282,2,1,2,4,5,845,0
Royal Ottawa Hospital,49,47,0,1,5,2,2,1,2,0,0,0,0,2,4,1,0,1,2,0,24,0
Salvation Army Ottawa Grace Manor,116,36,1,0,6,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,21,1
Unitarian House - Adv 2,0,94,0,0,26,0,0,3,0,0,0,0,0,2,11,0,0,0,1,0,51,0
Island Park Towers (195 Clearview) - Adv 2,0,128,2,0,15,0,1,9,0,0,0,0,0,0,15,0,0,0,2,2,82,0
Island Park Towers (200 Clearview) - Adv 2,0,111,0,1,14,0,2,5,0,0,0,0,0,3,34,0,0,0,1,0,51,0
Golden Manor Apartments - Adv 2,0,103,3,3,6,1,2,10,1,0,0,0,2,2,13,0,0,2,2,1,55,0
Plaza Towers - Adv 2,0,56,0,0,9,0,0,3,0,2,1,0,0,1,11,0,0,0,0,0,29,0
The Barclay Apartments - Adv 2,0,90,0,0,8,0,0,7,0,0,0,0,0,2,43,0,0,0,0,0,30,0
Hampton Court - Adv 2,0,139,2,0,6,1,0,14,0,1,0,0,1,3,34,0,0,0,2,1,73,1
St. Vladimir Russian Residence - Adv 2,0,16,0,0,1,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0
Wellington Manor - Adv 2,0,95,1,1,12,0,0,10,0,1,0,0,1,1,16,0,0,0,1,1,50,0
Burnside Terrace - Adv 2,0,45,0,0,6,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,19,0
Duke of Devonshire Residence - Adv 2,0,34,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,22,0
Notre Dame High School - Adv 1,0,442,0,0,45,0,0,47,2,0,0,0,1,2,73,0,0,0,0,3,265,4
Tom Brown Arena - Adv 2,0,887,3,0,147,0,0,67,0,2,0,0,0,16,186,0,1,0,2,4,459,0
Polling,27798,12782,36,21,3364,12,21,489,8,8,3,6,5,193,2130,13,9,9,54,73,6310,18
