Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Perley Rideau Health Centre,443,92,15,8,52,17,,,,,,,,,,,,,,,,
Ottawa General Hospital,0,0,0,0,0,0,,,,,,,,,,,,,,,,
CHEO,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Ecole secondaire Franco-Cite,1789,573,95,52,350,76,,,,,,,,,,,,,,,,
Pleasant Park Public School,3023,1258,265,46,830,117,,,,,,,,,,,,,,,,
Rideau Park United Church,2768,1253,385,47,729,92,,,,,,,,,,,,,,,,
Jim Durrell Complex,2854,1078,288,48,667,75,,,,,,,,,,,,,,,,
St. Patrick's Intermediate School,2977,1080,175,65,696,144,,,,,,,,,,,,,,,,
Heron Road Community Centre,1868,342,63,37,182,60,,,,,,,,,,,,,,,,
Ecole elementaire publique Marie-Curie,2455,975,139,97,593,146,,,,,,,,,,,,,,,,
Canterbury Recreation Complex,3508,1257,159,112,734,252,,,,,,,,,,,,,,,,
St. Luke Elementary School,2151,606,73,62,280,191,,,,,,,,,,,,,,,,
Hawthorne United Church,2005,465,52,54,204,155,,,,,,,,,,,,,,,,
Oakpark Retirement Community - Adv 1,0,54,2,2,46,4,,,,,,,,,,,,,,,,
Russell Manor - Adv 1,0,60,6,8,42,4,,,,,,,,,,,,,,,,
Alta Vista Manor - Adv 1,0,33,1,0,29,3,,,,,,,,,,,,,,,,
Playfair Towers - Adv 1,0,35,1,5,25,4,,,,,,,,,,,,,,,,
Vista On The Park - Adv 1,0,117,11,13,85,8,,,,,,,,,,,,,,,,
Playfair Residences - Adv 1,0,87,12,13,58,4,,,,,,,,,,,,,,,,
Riverbank Apartments - Adv 1,0,31,9,3,17,2,,,,,,,,,,,,,,,,
Waterford Apartments - Adv 1,0,36,6,1,27,2,,,,,,,,,,,,,,,,
Ellwood House - Adv 1,0,16,0,0,15,1,,,,,,,,,,,,,,,,
The Renaissance - Adv 1,0,70,6,5,57,2,,,,,,,,,,,,,,,,
Pleasant Park Place (2035 Othello) - Adv 1,0,49,2,1,41,5,,,,,,,,,,,,,,,,
Pleasant Park Place (2025 Othello) - Adv 1,0,32,6,3,21,2,,,,,,,,,,,,,,,,
Canterbury Square (830 Canterbury) - Adv 1,0,61,2,8,44,7,,,,,,,,,,,,,,,,
Canterbury Square (850 Canterbury) - Adv 1,0,34,2,4,22,6,,,,,,,,,,,,,,,,
Lord Halifax Aprts. (2220 Halifax) - Adv 1,0,100,8,10,70,12,,,,,,,,,,,,,,,,
Lord Halifax Aprts. (2240 Halifax) - Adv 1,0,84,8,11,60,5,,,,,,,,,,,,,,,,
Russell Gardens (2100 Russell) - Adv 1,0,28,4,2,19,3,,,,,,,,,,,,,,,,
Russell Gardens (2080 Russell) - Adv 1,0,19,3,2,12,2,,,,,,,,,,,,,,,,
Daly Co-op Inc. - Adv 1,0,31,5,13,11,2,,,,,,,,,,,,,,,,
The Dorchester Apartments - Adv 1,0,34,0,2,18,14,,,,,,,,,,,,,,,,
The Eaton - Adv 1,0,45,1,1,11,32,,,,,,,,,,,,,,,,
Canterbury Recreation Complex - Adv 1,0,657,94,49,392,122,,,,,,,,,,,,,,,,
Jim Durrell Complex - Adv 2,0,853,180,66,469,138,,,,,,,,,,,,,,,,
Polling,29117,11187,2100,804,6692,1591,,,,,,,,,,,,,,,,
Adv Vote,58234,1510,274,115,861,260,,,,,,,,,,,,,,,,
Total,29117,12697,2374,919,7553,1851,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 6,Reg. Voters,Total Votes,Mohamoud Abdulle,Bronwyn Funiciello,John Marshall,,,,,,,,,,,,,,,,,
Ottawa Montessori School,893,306,34,192,80,,,,,,,,,,,,,,,,,
Riverview Public School,1359,391,56,234,101,,,,,,,,,,,,,,,,,
Perley Rideau Health Centre,302,47,3,13,31,,,,,,,,,,,,,,,,,
Ottawa General Hospital,0,0,0,0,0,,,,,,,,,,,,,,,,,
CHEO,0,0,0,0,0,,,,,,,,,,,,,,,,,
Ecole secondaire Franco-Cite,1238,369,47,209,113,,,,,,,,,,,,,,,,,
Pleasant Park Public School,2002,757,35,535,187,,,,,,,,,,,,,,,,,
Rideau Park United Church,2039,838,72,582,184,,,,,,,,,,,,,,,,,
Jim Durrell Complex,2135,716,103,421,192,,,,,,,,,,,,,,,,,
St. Patrick's Intermediate School,1973,694,57,454,183,,,,,,,,,,,,,,,,,
Heron Road Community Centre,1406,263,146,55,62,,,,,,,,,,,,,,,,,
Ecole elementaire publique Marie-Curie,1655,594,37,378,179,,,,,,,,,,,,,,,,,
Canterbury Recreation Complex,2302,723,45,390,288,,,,,,,,,,,,,,,,,
St. Luke Elementary School,1361,293,50,112,131,,,,,,,,,,,,,,,,,
Hawthorne United Church,1282,264,25,101,138,,,,,,,,,,,,,,,,,
Oakpark Retirement Community - Adv 1,0,35,2,13,20,,,,,,,,,,,,,,,,,
Russell Manor - Adv 1,0,35,8,2,25,,,,,,,,,,,,,,,,,
Alta Vista Manor - Adv 1,0,24,0,9,15,,,,,,,,,,,,,,,,,
Playfair Towers - Adv 1,0,18,0,11,7,,,,,,,,,,,,,,,,,
Vista On The Park - Adv 1,0,69,2,34,33,,,,,,,,,,,,,,,,,
Playfair Residences - Adv 1,0,47,1,24,22,,,,,,,,,,,,,,,,,
Riverbank Apartments - Adv 1,0,23,4,5,14,,,,,,,,,,,,,,,,,
Waterford Apartments - Adv 1,0,23,3,11,9,,,,,,,,,,,,,,,,,
Ellwood House - Adv 1,0,11,1,2,8,,,,,,,,,,,,,,,,,
The Renaissance - Adv 1,0,37,1,16,20,,,,,,,,,,,,,,,,,
Pleasant Park Place (2035 Othello) - Adv 1,0,30,4,8,18,,,,,,,,,,,,,,,,,
Pleasant Park Place (2025 Othello) - Adv 1,0,18,2,2,14,,,,,,,,,,,,,,,,,
Canterbury Square (830 Canterbury) - Adv 1,0,39,2,15,22,,,,,,,,,,,,,,,,,
Canterbury Square (850 Canterbury) - Adv 1,0,22,2,8,12,,,,,,,,,,,,,,,,,
Lord Halifax Aprts. (2220 Halifax) - Adv 1,0,63,3,20,40,,,,,,,,,,,,,,,,,
Lord Halifax Aprts. (2240 Halifax) - Adv 1,0,50,1,11,38,,,,,,,,,,,,,,,,,
Russell Gardens (2100 Russell) - Adv 1,0,21,1,4,16,,,,,,,,,,,,,,,,,
Russell Gardens (2080 Russell) - Adv 1,0,10,1,2,7,,,,,,,,,,,,,,,,,
Daly Co-op Inc. - Adv 1,0,26,1,11,14,,,,,,,,,,,,,,,,,
The Dorchester Apartments - Adv 1,0,19,1,4,14,,,,,,,,,,,,,,,,,
The Eaton - Adv 1,0,26,2,7,17,,,,,,,,,,,,,,,,,
Canterbury Recreation Complex - Adv 1,0,408,27,218,163,,,,,,,,,,,,,,,,,
Jim Durrell Complex - Adv 2,0,499,39,284,176,,,,,,,,,,,,,,,,,
Polling,19947,6901,752,3895,2254,,,,,,,,,,,,,,,,,
Adv Vote,39894,907,66,502,339,,,,,,,,,,,,,,,,,
Total,19947,7808,818,4397,2593,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CEPEO Secteur 9,Reg. Voters,Total Votes,Sylvain Bélanger,Marielle Godbout,,,,,,,,,,,,,,,,,,
Ottawa Montessori School,107,43,19,24,,,,,,,,,,,,,,,,,,
Riverview Public School,90,35,17,18,,,,,,,,,,,,,,,,,,
Perley Rideau Health Centre,5,1,0,1,,,,,,,,,,,,,,,,,,
Ottawa General Hospital,0,0,0,0,,,,,,,,,,,,,,,,,,
CHEO,0,0,0,0,,,,,,,,,,,,,,,,,,
Ecole secondaire Franco-Cite,82,24,8,16,,,,,,,,,,,,,,,,,,
Pleasant Park Public School,145,57,19,38,,,,,,,,,,,,,,,,,,
Rideau Park United Church,120,44,18,26,,,,,,,,,,,,,,,,,,
Jim Durrell Complex,102,47,18,29,,,,,,,,,,,,,,,,,,
St. Patrick's Intermediate School,120,35,16,19,,,,,,,,,,,,,,,,,,
Heron Road Community Centre,112,15,8,7,,,,,,,,,,,,,,,,,,
Ecole elementaire publique Marie-Curie,82,27,7,20,,,,,,,,,,,,,,,,,,
