Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
St. Leonard Catholic School,2064,938,0,0,140,0,0,68,0,2,0,0,0,66,274,1,0,1,2,3,380,1
Manotick Arena,2481,1028,0,0,129,0,1,70,0,0,0,0,0,77,333,1,1,1,4,3,407,1
Carleton Golf Yacht Club,867,424,0,0,42,0,0,36,0,0,0,0,0,31,158,0,0,0,1,1,155,0
Kars Community Recreation Centre,1029,457,0,0,44,0,1,43,0,0,0,0,0,97,132,0,0,0,1,0,139,0
Alfred Taylor Recreation Facility,3127,1411,2,2,128,0,1,161,0,0,0,1,0,93,553,1,2,0,3,3,459,2
Marlborough Community Centre,995,442,0,0,38,1,4,48,0,0,0,1,0,17,173,0,0,0,0,0,160,0
Christ Church Anglican,337,131,0,0,6,0,0,9,0,0,0,0,0,4,64,0,0,0,1,1,46,0
Cavanagh Community Centre,852,363,0,0,28,1,0,30,0,1,0,0,0,17,164,0,0,0,0,0,121,1
Munster Community Centre,2117,818,2,1,71,5,1,113,1,0,0,0,0,44,309,1,2,0,6,3,259,0
Richmond Arena,3974,1709,2,0,148,4,5,155,0,3,1,2,1,87,642,0,3,1,8,2,643,2
Goulbourn Middle School,856,351,0,0,36,0,0,25,0,0,0,0,0,23,143,0,1,0,0,1,122,0
St. Patrick's Church,699,275,0,0,25,0,0,33,0,0,0,0,0,16,116,2,0,0,2,1,80,0
Richmond Lodge - Adv 2,0,20,0,0,1,0,1,5,0,1,0,0,0,0,7,0,0,0,0,0,4,1
Manotick Arena - Adv 1,0,225,0,0,15,0,0,47,0,0,0,0,0,11,70,0,0,0,0,0,82,0
Marlborough Community Centre - Adv 1,0,117,0,0,3,0,1,26,0,0,0,0,1,5,46,0,0,0,1,0,34,0
Munster Community Centre - Adv 1,0,123,0,1,5,0,0,34,0,0,0,0,0,9,33,0,1,0,2,0,38,0
Kars Community Recreation Centre - Adv 2,0,188,0,0,11,0,0,22,0,0,0,0,0,18,72,0,0,0,1,0,64,0
North Gower Client Service Centre - Adv 2,0,197,0,0,11,0,0,26,0,0,0,0,0,14,84,0,0,0,2,0,60,0
Richmond Arena - Adv 2,0,389,1,0,17,0,0,59,0,0,0,0,0,20,183,0,0,0,2,1,106,0
Polling,19398,8367,6,3,836,11,14,796,1,7,1,4,1,572,3068,6,9,3,28,18,2975,8
Adv Vote,38796,1239,1,1,62,0,1,214,0,0,0,0,1,77,488,0,1,0,8,1,384,0
Total,19398,9606,7,4,898,11,15,1010,1,7,1,4,2,649,3556,6,10,3,36,19,3359,8
,,,,,,,,,,,,,,,,,,,,,,
Councillor / Conseiller(ère) Ward/Quartier 21,Reg. Voters,Total Votes,Glenn Brooks,Bruce Chrustie,Iain McCallum,Scott Moffatt,Bruce Webster,,,,,,,,,,,,,,,
St. Leonard Catholic School,2064,930,251,22,49,544,64,,,,,,,,,,,,,,,
Manotick Arena,2481,1024,278,20,60,548,118,,,,,,,,,,,,,,,
Carleton Golf Yacht Club,867,426,133,7,28,224,34,,,,,,,,,,,,,,,
