Mayor / Maire,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O’Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
Kars Community Recreation Centre,1029,458,120,6,13,299,20,,,,,,,,,,,,,,,
Alfred Taylor Recreation Facility,3127,1412,403,58,75,805,71,,,,,,,,,,,,,,,
Marlborough Community Centre,995,440,121,27,25,248,19,,,,,,,,,,,,,,,
Christ Church Anglican,337,135,36,5,3,82,9,,,,,,,,,,,,,,,
Cavanagh Community Centre,852,361,87,15,17,167,75,,,,,,,,,,,,,,,
Munster Community Centre,2117,813,204,27,51,430,101,,,,,,,,,,,,,,,
Richmond Arena,3974,1709,361,25,127,749,447,,,,,,,,,,,,,,,
Goulbourn Middle School,856,343,79,12,40,156,56,,,,,,,,,,,,,,,
St. Patrick's Church,699,275,56,10,16,180,13,,,,,,,,,,,,,,,
Richmond Lodge - Adv 2,0,17,10,1,2,2,2,,,,,,,,,,,,,,,
Manotick Arena - Adv 1,0,225,69,5,6,119,26,,,,,,,,,,,,,,,
Marlborough Community Centre - Adv 1,0,119,42,1,2,69,5,,,,,,,,,,,,,,,
Munster Community Centre - Adv 1,0,124,59,2,4,46,13,,,,,,,,,,,,,,,
Kars Community Recreation Centre - Adv 2,0,187,56,4,5,114,8,,,,,,,,,,,,,,,
North Gower Client Service Centre - Adv 2,0,199,66,4,15,107,7,,,,,,,,,,,,,,,
Richmond Arena - Adv 2,0,392,108,7,25,159,93,,,,,,,,,,,,,,,
Polling,19398,8343,2139,235,506,4434,1029,,,,,,,,,,,,,,,
Adv Vote,38796,1246,400,23,57,614,152,,,,,,,,,,,,,,,
Total,19398,9589,2539,258,563,5048,1181,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
OCDSB Zone 1,Reg. Voters,Total Votes,Todd Johnson,Lynn Scott,,,,,,,,,,,,,,,,,,
St. Leonard Catholic School,1394,538,148,390,,,,,,,,,,,,,,,,,,
Manotick Arena,1739,647,189,458,,,,,,,,,,,,,,,,,,
Carleton Golf Yacht Club,655,285,65,220,,,,,,,,,,,,,,,,,,
Kars Community Recreation Centre,842,354,113,241,,,,,,,,,,,,,,,,,,
Alfred Taylor Recreation Facility,2552,1094,281,813,,,,,,,,,,,,,,,,,,
Marlborough Community Centre,841,334,97,237,,,,,,,,,,,,,,,,,,
Christ Church Anglican,275,90,15,75,,,,,,,,,,,,,,,,,,
Cavanagh Community Centre,674,257,67,190,,,,,,,,,,,,,,,,,,
Munster Community Centre,1715,623,157,466,,,,,,,,,,,,,,,,,,
Richmond Arena,3069,1182,322,860,,,,,,,,,,,,,,,,,,
Goulbourn Middle School,631,231,66,165,,,,,,,,,,,,,,,,,,
St. Patrick's Church,430,143,49,94,,,,,,,,,,,,,,,,,,
Richmond Lodge - Adv 2,0,19,5,14,,,,,,,,,,,,,,,,,,
Manotick Arena - Adv 1,0,154,32,122,,,,,,,,,,,,,,,,,,
Marlborough Community Centre - Adv 1,0,79,26,53,,,,,,,,,,,,,,,,,,
Munster Community Centre - Adv 1,0,91,20,71,,,,,,,,,,,,,,,,,,
Kars Community Recreation Centre - Adv 2,0,129,39,90,,,,,,,,,,,,,,,,,,
North Gower Client Service Centre - Adv 2,0,141,42,99,,,,,,,,,,,,,,,,,,
Richmond Arena - Adv 2,0,303,72,231,,,,,,,,,,,,,,,,,,
Polling,14817,5797,1574,4223,,,,,,,,,,,,,,,,,,
Adv Vote,29634,897,231,666,,,,,,,,,,,,,,,,,,
Total,14817,6694,1805,4889,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CEPEO Secteur 12,Reg. Voters,Total Votes,Bernard Bareilhe,Abdourahman Kahin,Linda Savard,,,,,,,,,,,,,,,,,
St. Leonard Catholic School,11,3,1,0,2,,,,,,,,,,,,,,,,,
Manotick Arena,19,8,1,1,6,,,,,,,,,,,,,,,,,
Carleton Golf Yacht Club,9,2,0,0,2,,,,,,,,,,,,,,,,,
Kars Community Recreation Centre,14,5,0,1,4,,,,,,,,,,,,,,,,,
Alfred Taylor Recreation Facility,38,12,2,1,9,,,,,,,,,,,,,,,,,
Marlborough Community Centre,8,4,0,0,4,,,,,,,,,,,,,,,,,
Christ Church Anglican,2,1,0,0,1,,,,,,,,,,,,,,,,,
Cavanagh Community Centre,8,2,0,0,2,,,,,,,,,,,,,,,,,
Munster Community Centre,17,8,1,1,6,,,,,,,,,,,,,,,,,
Richmond Arena,28,10,4,0,6,,,,,,,,,,,,,,,,,
Goulbourn Middle School,5,3,0,0,3,,,,,,,,,,,,,,,,,
St. Patrick's Church,2,0,0,0,0,,,,,,,,,,,,,,,,,
Richmond Lodge - Adv 2,0,0,0,0,0,,,,,,,,,,,,,,,,,
Manotick Arena - Adv 1,0,0,0,0,0,,,,,,,,,,,,,,,,,
Marlborough Community Centre - Adv 1,0,1,0,0,1,,,,,,,,,,,,,,,,,
Munster Community Centre - Adv 1,0,2,0,0,2,,,,,,,,,,,,,,,,,
Kars Community Recreation Centre - Adv 2,0,3,0,0,3,,,,,,,,,,,,,,,,,
North Gower Client Service Centre - Adv 2,0,3,1,0,2,,,,,,,,,,,,,,,,,
Richmond Arena - Adv 2,0,5,1,0,4,,,,,,,,,,,,,,,,,
Polling,161,58,9,4,45,,,,,,,,,,,,,,,,,
Adv Vote,322,14,2,0,12,,,,,,,,,,,,,,,,,
Total,161,72,11,4,57,,,,,,,,,,,,,,,,,
