Ward,LocationCode,LocationName,Reg. Voters,Total Votes,Cesar Bello,Idris Ben-Tahir,Clive Doucet,Joseph Furtenbacher,Robert G. Gauthier,Andrew Haydon,Robert Larter,Robin Lawrance,Vincent Libweshya,Fraser Liscumb,Daniel J. Lyrette,Mike Maguire,Larry O'Brien,Julio Pita,Sean Ryan,Michael St. Arnaud,Jane Scharf,Charlie Taylor,Jim Watson,Samuel Wright
11,11-005,Ecole elementaire catholique La Verendrye,3177,1487,2,1,226,2,6,63,0,1,0,0,0,48,341,1,1,1,7,6,780,1
11,11-006,Cyrville Community Centre,2545,550,7,12,41,1,7,24,1,2,0,0,0,10,99,0,2,2,5,1,335,1
11,11-007,Carson Grove Elementary School,2606,1107,4,2,160,0,14,56,1,1,0,0,0,23,221,6,1,3,4,5,606,0
11,11-008,Ogilvie Villa,57,38,0,0,2,0,5,3,0,0,0,1,0,0,14,0,0,0,0,1,12,0
11,11-009,Camilla Gardens Retirement Residence,56,31,0,0,4,0,7,2,0,0,0,0,1,0,9,0,0,1,1,0,6,0
11,11-010,Earl Armstrong Arena,2916,1182,3,0,180,1,15,62,1,1,0,0,0,37,266,2,3,1,10,5,595,0
11,11-011,Lester B. Pearson Catholic High School,2316,689,9,2,74,1,13,35,0,0,0,0,1,8,159,1,0,1,5,6,374,0
11,11-012,Elmsmere Residence,44,21,0,0,0,1,1,3,0,0,0,0,0,0,5,0,0,0,2,0,9,0
11,11-013,Calvary United Pentecostal Church,2469,773,13,1,82,0,13,30,1,1,0,0,2,22,162,3,0,1,8,3,430,1
11,11-014,John Paul II Catholic School,2345,788,7,4,103,0,10,46,0,0,0,4,1,18,177,0,0,0,3,1,412,2
11,11-015,Beacon Heights Retirement Residence,0,17,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,9,0
11,11-016,Northridge Towers - Adv 1,0,89,1,0,6,0,3,23,0,0,0,0,0,4,12,0,0,1,0,0,39,0
11,11-017,Cyrville Towers - Adv 1,0,62,0,0,4,0,2,5,1,0,0,0,0,0,14,0,0,0,0,0,36,0
11,11-018,Hillsview Towers - Adv 1,0,140,0,0,4,0,9,27,0,0,0,0,0,3,14,0,0,2,0,3,78,0
11,11-019,Cyrville Community Centre - Adv 1,0,437,6,0,25,1,7,52,0,0,0,0,1,3,100,1,0,0,1,1,239,0
11,11-020,Beacon Hill Community Centre - Adv 2,0,728,4,0,47,0,16,47,1,1,0,0,2,20,204,1,0,0,5,2,377,1
12,12-001,Routhier Community Centre,3691,1344,6,1,374,0,6,30,0,0,0,0,1,16,205,1,0,0,8,7,680,9
12,12-002,Elisabeth Bruyere Continuing Care,366,68,0,0,2,0,4,1,0,1,0,0,0,0,3,0,0,0,0,0,57,0
12,12-003,Patro d'Ottawa,3814,1089,6,1,213,0,12,29,1,1,1,0,2,16,155,1,1,1,4,6,639,0
